graphcode,Graph Title,Y axis label,X axis label,X axis order,Variable,Value,Source
27,Deaths In Women by Leading Risk Factors,percentage of deaths,Risk factor,none,Iron Deficiency,4,massviz targets
27,Deaths In Women by Leading Risk Factors,percentage of deaths,Risk factor,none,Alchol Use,3,massviz targets
27,Deaths In Women by Leading Risk Factors,percentage of deaths,Risk factor,none,High Blood Pressure,2.5,massviz targets
27,Deaths In Women by Leading Risk Factors,percentage of deaths,Risk factor,none,Tobacco Use,2,massviz targets
27,Deaths In Women by Leading Risk Factors,percentage of deaths,Risk factor,none,Obesity,1,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Bangladesh,1.1,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Colombia,5.4,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Honduras,4.6,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,India,1.3,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Yemen,1.4,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Panama,6.1,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Nepal,1.7,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Lesotho,8.4,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Kenya,2.1,massviz targets
28,Government Expenditure On Health,percentage of GDP,Country,none,Egypt,1.9,massviz targets
29,Drinking Water Coverage in 2010,coverage percentage,Regional Group,none,Oceania,54,massviz targets
29,Drinking Water Coverage in 2011,coverage percentage,Regional Group,none,Sub-Saharan Africa,61,massviz targets
29,Drinking Water Coverage in 2012,coverage percentage,Regional Group,none,Caucasus and Central Asia,87,massviz targets
29,Drinking Water Coverage in 2013,coverage percentage,Regional Group,none,South-Eastern Asia,88,massviz targets
29,Drinking Water Coverage in 2014,coverage percentage,Regional Group,none,Western Asia ,89,massviz targets
29,Drinking Water Coverage in 2015,coverage percentage,Regional Group,none,Southern Asia,90,massviz targets
29,Drinking Water Coverage in 2016,coverage percentage,Regional Group,none,Eastern Asia,91,massviz targets
29,Drinking Water Coverage in 2017,coverage percentage,Regional Group,none,Northern Africa,92,massviz targets
29,Drinking Water Coverage in 2018,coverage percentage,Regional Group,none,Latin America and the Caribbean,94,massviz targets
30,Deaths Attributable To Tobacco,percentage of dealths,Regional Group,none,African Region,3,massviz targets
30,Deaths Attributable To Tobacco,percentage of dealths,Regional Group,none,Americas,16,massviz targets
30,Deaths Attributable To Tobacco,percentage of dealths,Regional Group,none,Eastern Mediterranean Region,7,massviz targets
30,Deaths Attributable To Tobacco,percentage of dealths,Regional Group,none,European Region,17,massviz targets
30,Deaths Attributable To Tobacco,percentage of dealths,Regional Group,none,South East Asian Region,10,massviz targets
30,Deaths Attributable To Tobacco,percentage of dealths,Regional Group,none,Western Pacific Region,13,massviz targets
31,Prevalence Of Alcohol Abstention,percentage of lifetime absteiners,Regional Group,none,African Region,57.3,massviz targets
31,Prevalence Of Alcohol Abstention,percentage of lifetime absteiners,Regional Group,none,Americas,21.5,massviz targets
31,Prevalence Of Alcohol Abstention,percentage of lifetime absteiners,Regional Group,none,Eastern Mediterranean Region,87.8,massviz targets
31,Prevalence Of Alcohol Abstention,percentage of lifetime absteiners,Regional Group,none,European Region,18.9,massviz targets
31,Prevalence Of Alcohol Abstention,percentage of lifetime absteiners,Regional Group,none,South East Asian Region,80.4,massviz targets
31,Prevalence Of Alcohol Abstention,percentage of lifetime absteiners,Regional Group,none,Western Pacific Region,29.2,massviz targets
32,Global Alcohol-Attributable Deaths By Disease And Injury,percentage of alcohol attributable deaths,Disorder or injury,none,Cirrhosis of the liver,16.6,massviz targets
32,Global Alcohol-Attributable Deaths By Disease And Injury,percentage of alcohol attributable deaths,Disorder or injury,none,Road traffic accidents,11.9,massviz targets
32,Global Alcohol-Attributable Deaths By Disease And Injury,percentage of alcohol attributable deaths,Disorder or injury,none,Liver cancer,8.2,massviz targets
32,Global Alcohol-Attributable Deaths By Disease And Injury,percentage of alcohol attributable deaths,Disorder or injury,none,Violence,8,massviz targets
32,Global Alcohol-Attributable Deaths By Disease And Injury,percentage of alcohol attributable deaths,Disorder or injury,none,Hypertensive heart disease,5.8,massviz targets
32,Global Alcohol-Attributable Deaths By Disease And Injury,percentage of alcohol attributable deaths,Disorder or injury,none,Oesophagus cancer,7,massviz targets
33,Blood Alcohol Concentration (BAC) Limits For Commercial Drivers,number of countries,BAC limit for commercial drivers (%),ordered,0,26,massviz targets
33,Blood Alcohol Concentration (BAC) Limits For Commercial Drivers,number of countries,BAC limit for commercial drivers (%),ordered,0.02,11,massviz targets
33,Blood Alcohol Concentration (BAC) Limits For Commercial Drivers,number of countries,BAC limit for commercial drivers (%),ordered,0.05,36,massviz targets
33,Blood Alcohol Concentration (BAC) Limits For Commercial Drivers,number of countries,BAC limit for commercial drivers (%),ordered,0.08,43,massviz targets
34,Deaths Attributable To Diet-Related Risks And Physical Inactivity,percentage of deaths,Risk factor,none,High blood pressure,12.8,massviz targets
34,Deaths Attributable To Diet-Related Risks And Physical Inactivity,percentage of deaths,Risk factor,none,High blood glucose,5.8,massviz targets
34,Deaths Attributable To Diet-Related Risks And Physical Inactivity,percentage of deaths,Risk factor,none,Physical inactivity,5.5,massviz targets
34,Deaths Attributable To Diet-Related Risks And Physical Inactivity,percentage of deaths,Risk factor,none,Overweight and obesity,4.8,massviz targets
34,Deaths Attributable To Diet-Related Risks And Physical Inactivity,percentage of deaths,Risk factor,none,High cholesterol,4.5,massviz targets
34,Deaths Attributable To Diet-Related Risks And Physical Inactivity,percentage of deaths,Risk factor,none,Low fruit and vegetable intake,2.9,massviz targets
35,Home-Loan Purchases,millions of home purchases,Year,ordered,2005,7,massviz targets
35,Home-Loan Purchases,millions of home purchases,Year,ordered,2006,6.7,massviz targets
35,Home-Loan Purchases,millions of home purchases,Year,ordered,2007,4.8,massviz targets
35,Home-Loan Purchases,millions of home purchases,Year,ordered,2008,3,massviz targets
35,Home-Loan Purchases,millions of home purchases,Year,ordered,2009,2.7,massviz targets
35,Home-Loan Purchases,millions of home purchases,Year,ordered,2010,2.5,massviz targets
35,Home-Loan Purchases,millions of home purchases,Year,ordered,2011,2.4,massviz targets
36,People Who Have Died As A Result Of Police Action In South Africa,number of people,Year,ordered,1999,450,massviz targets
36,People Who Have Died As A Result Of Police Action In South Africa,number of people,Year,ordered,2001,370,massviz targets
36,People Who Have Died As A Result Of Police Action In South Africa,number of people,Year,ordered,2003,380,massviz targets
36,People Who Have Died As A Result Of Police Action In South Africa,number of people,Year,ordered,2005,310,massviz targets
36,People Who Have Died As A Result Of Police Action In South Africa,number of people,Year,ordered,2007,480,massviz targets
36,People Who Have Died As A Result Of Police Action In South Africa,number of people,Year,ordered,2009,580,massviz targets
36,People Who Have Died As A Result Of Police Action In South Africa,number of people,Year,ordered,2011,800,massviz targets
37,Calories By Product,calories,Product,none,Tacobell Cantina Burrito,760,massviz targets
37,Calories By Product,calories,Product,none,Burger King Whopper,600,massviz targets
37,Calories By Product,calories,Product,none,Starbucks Frappuccino,450,massviz targets
37,Calories By Product,calories,Product,none,Panera Cinnamon Bagel,420,massviz targets
37,Calories By Product,calories,Product,none,Big Mac,550,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Malta,27.7,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Cyprus,17.7,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Greece,16.5,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Portugal,15.2,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Spain,14.8,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Austria,13.7,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Bulgaria,12.8,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Slovania,12.8,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Estonia,12.6,massviz targets
38,Travel Bookings As A Percentage Of GDP,percentage of GDP,country,none,Hungary,10.4,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,Radio,68,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,CDs,62,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,YouTube,43,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,iTunes,28,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,Pandora,32,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,TV,22,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,Streaming radio,23,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,Facebook,13,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,Music Apps,12,massviz targets
39,Adults Listening To Music By Platform,percentage of adults,Platform,none,SiriusXM,14,massviz targets
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2000,59,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2001,62,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2002,61,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2003,64,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2005,62,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2006,63,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2007,64,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2008,69,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2009,70,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2010,67,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2011,72,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2012,73,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2013,74,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2014,71,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2015,67,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
40,American Customer Satisfaction Index Scores of McDonald's Restaurants,American Customer Satisfaction Index scores,Year,ordered,2016,69,https://www.statista.com/statistics/216696/mcdonalds--customer-satisfaction-in-the-us/
41,Computer Game Sales by Genre,percentage of units sold,Genre,none,Strategy,36.4,https://www.statista.com/statistics/189660/breakdown-of-us-computer-game-sales-2009-by-genre/
41,Computer Game Sales by Genre,percentage of units sold,Genre,none,Casual,25.8,https://www.statista.com/statistics/189660/breakdown-of-us-computer-game-sales-2009-by-genre/
41,Computer Game Sales by Genre,percentage of units sold,Genre,none,Role-playing,18.7,https://www.statista.com/statistics/189660/breakdown-of-us-computer-game-sales-2009-by-genre/
41,Computer Game Sales by Genre,percentage of units sold,Genre,none,Shooter,9.3,https://www.statista.com/statistics/189660/breakdown-of-us-computer-game-sales-2009-by-genre/
41,Computer Game Sales by Genre,percentage of units sold,Genre,none,Adventure,7.9,https://www.statista.com/statistics/189660/breakdown-of-us-computer-game-sales-2009-by-genre/
42,Distribution Of Beauty Content Videos On YouTube,percentage of videos,Category,none,Routine,7.2,https://www.statista.com/statistics/521374/beauty-video-content-youtube-category/
42,Distribution Of Beauty Content Videos On YouTube,percentage of videos,Category,none,News,6,https://www.statista.com/statistics/521374/beauty-video-content-youtube-category/
42,Distribution Of Beauty Content Videos On YouTube,percentage of videos,Category,none,Prank,5,https://www.statista.com/statistics/521374/beauty-video-content-youtube-category/
42,Distribution Of Beauty Content Videos On YouTube,percentage of videos,Category,none,Product Demo,5.5,https://www.statista.com/statistics/521374/beauty-video-content-youtube-category/
42,Distribution Of Beauty Content Videos On YouTube,percentage of videos,Category,none,Look,5.8,https://www.statista.com/statistics/521374/beauty-video-content-youtube-category/
42,Distribution Of Beauty Content Videos On YouTube,percentage of videos,Category,none,Other,7,https://www.statista.com/statistics/521374/beauty-video-content-youtube-category/
43,Online Pet Products Sales In The United States,sales in billions of dollars,Year,ordered,2011,1.18,https://www.statista.com/statistics/297267/us-pet-products-online-sales/
