participantID,subject_condition,field,DB_nw_notice,noticed,coder1,coder2,agree,notes
s51241,no warning,Humanities,"My impulse each time was to ""take in"" the visual relationship, but then I'd look at the amounts on the left column each time, and so often the visual variation felt meaningless or misleading after that. If this were data I'd need, I'd just prefer a list of amounts in increasing order in some cases. Also, for comparisons in populations, I wasn't sure how meaningful the amounts are. For instance, of for a given experience, if Japan is at 10 million ppl and India is at 7 million, there are so many additonal Qs I have when trying to decided how disparate the amounts are since the two nations' total pops are so different and what does that mean for their art-museum tastes or whatever. Also, I'm a humanist, and almost never have to deal with graphs, so grain of salt on all of the above I suppose.",1,1,1,1,coder 1 changed from 0 to 1
s51254,no warning,Humanities,It appears to be a lot easier to make small differences look like large differences by fiddling with the y-axis than it is to make large differences look like small differences. All you have to do for the former is make the y-axis a very small range.,1,1,1,1,
s51278,no warning,Humanities,"Well these are basic things to handle really...if two bars look extremely different but the y axis begins with 7 (rather than 0) and ends with 8, one should never ever be tricked by these visual niceties.........................................................................................lol.",1,1,1,1,
s51001,no warning,Quantitative,NA,N/A,NA,NA,1,
s51003,no warning,Quantitative,NA,N/A,NA,NA,1,
s51016,no warning,Quantitative,NA,N/A,NA,NA,1,
s51018,no warning,Quantitative,NA,N/A,NA,NA,1,
s51022,no warning,Quantitative,NA,N/A,NA,NA,1,
s51026,no warning,Quantitative,NA,N/A,NA,NA,1,
s51031,no warning,Quantitative,NA,N/A,NA,NA,1,
s51037,no warning,Quantitative,NA,N/A,NA,NA,1,
s51041,no warning,Quantitative,NA,N/A,NA,NA,1,
s51043,no warning,Quantitative,NA,N/A,NA,NA,1,
s51044,no warning,Quantitative,NA,N/A,NA,NA,1,
s51045,no warning,Quantitative,NA,N/A,NA,NA,1,
s51054,no warning,Quantitative,NA,N/A,NA,NA,1,
s51055,no warning,Quantitative,NA,N/A,NA,NA,1,
s51057,no warning,Quantitative,NA,N/A,NA,NA,1,
s51061,no warning,Quantitative,NA,N/A,NA,NA,1,
s51062,no warning,Quantitative,NA,N/A,NA,NA,1,
s51064,no warning,Quantitative,NA,N/A,NA,NA,1,
s51068,no warning,Quantitative,NA,N/A,NA,NA,1,
s51070,no warning,Quantitative,NA,N/A,NA,NA,1,
s51072,no warning,Quantitative,NA,N/A,NA,NA,1,
s51073,no warning,Quantitative,NA,N/A,NA,NA,1,
s51078,no warning,Quantitative,NA,N/A,NA,NA,1,
s51080,no warning,Quantitative,NA,N/A,NA,NA,1,
s51083,no warning,Quantitative,NA,N/A,NA,NA,1,
s51088,no warning,Quantitative,NA,N/A,NA,NA,1,
s51090,no warning,Quantitative,NA,N/A,NA,NA,1,
s51093,no warning,Quantitative,NA,N/A,NA,NA,1,
s51096,no warning,Quantitative,NA,N/A,NA,NA,1,
s51098,no warning,Quantitative,NA,N/A,NA,NA,1,
s51100,no warning,Quantitative,NA,N/A,NA,NA,1,
s51103,no warning,Quantitative,NA,N/A,NA,NA,1,
s51104,no warning,Quantitative,NA,N/A,NA,NA,1,
s51113,no warning,Quantitative,NA,N/A,NA,NA,1,
s51116,no warning,Quantitative,NA,N/A,NA,NA,1,
s51118,no warning,Quantitative,NA,N/A,NA,NA,1,
s51120,no warning,Quantitative,NA,N/A,NA,NA,1,
s51124,no warning,Quantitative,NA,N/A,NA,NA,1,
s51128,no warning,Quantitative,NA,N/A,NA,NA,1,
s51130,no warning,Quantitative,NA,N/A,NA,NA,1,
s51131,no warning,Quantitative,NA,N/A,NA,NA,1,
s51133,no warning,Quantitative,NA,N/A,NA,NA,1,
s51137,no warning,Quantitative,NA,N/A,NA,NA,1,
s51146,no warning,Quantitative,NA,N/A,NA,NA,1,
s51147,no warning,Quantitative,NA,N/A,NA,NA,1,
s51149,no warning,Quantitative,NA,N/A,NA,NA,1,
s51152,no warning,Quantitative,NA,N/A,NA,NA,1,
s51153,no warning,Quantitative,NA,N/A,NA,NA,1,
s51158,no warning,Quantitative,NA,N/A,NA,NA,1,
s51160,no warning,Quantitative,NA,N/A,NA,NA,1,
s51162,no warning,Quantitative,NA,N/A,NA,NA,1,
s51163,no warning,Humanities,NA,N/A,NA,NA,1,
s51169,no warning,Humanities,NA,N/A,NA,NA,1,
s51172,no warning,Humanities,NA,N/A,NA,NA,1,
s51174,no warning,Humanities,NA,N/A,NA,NA,1,
s51177,no warning,Humanities,NA,N/A,NA,NA,1,
s51179,no warning,Humanities,NA,N/A,NA,NA,1,
s51181,no warning,Humanities,NA,N/A,NA,NA,1,
s51186,no warning,Humanities,NA,N/A,NA,NA,1,
s51187,no warning,Humanities,NA,N/A,NA,NA,1,
s51188,no warning,Humanities,NA,N/A,NA,NA,1,
s51192,no warning,Humanities,NA,N/A,NA,NA,1,
s51195,no warning,Humanities,NA,N/A,NA,NA,1,
s51197,no warning,Humanities,NA,N/A,NA,NA,1,
s51198,no warning,Humanities,NA,N/A,NA,NA,1,
s51201,no warning,Humanities,NA,N/A,NA,NA,1,
s51202,no warning,Humanities,NA,N/A,NA,NA,1,
s51205,no warning,Humanities,NA,N/A,NA,NA,1,
s51206,no warning,Humanities,NA,N/A,NA,NA,1,
s51207,no warning,Humanities,NA,N/A,NA,NA,1,
s51213,no warning,Humanities,NA,N/A,NA,NA,1,
s51214,no warning,Humanities,NA,N/A,NA,NA,1,
s51220,no warning,Humanities,NA,N/A,NA,NA,1,
s51222,no warning,Humanities,NA,N/A,NA,NA,1,
s51224,no warning,Humanities,NA,N/A,NA,NA,1,
s51228,no warning,Humanities,NA,N/A,NA,NA,1,
s51232,no warning,Humanities,NA,N/A,NA,NA,1,
s51235,no warning,Humanities,NA,N/A,NA,NA,1,
s51237,no warning,Humanities,NA,N/A,NA,NA,1,
s51239,no warning,Humanities,NA,N/A,NA,NA,1,
s51244,no warning,Humanities,NA,N/A,NA,NA,1,
s51246,no warning,Humanities,NA,N/A,NA,NA,1,
s51251,no warning,Humanities,NA,N/A,NA,NA,1,
s51252,no warning,Humanities,NA,N/A,NA,NA,1,
s51258,no warning,Humanities,NA,N/A,NA,NA,1,
s51260,no warning,Humanities,NA,N/A,NA,NA,1,
s51261,no warning,Humanities,NA,N/A,NA,NA,1,
s51264,no warning,Humanities,NA,N/A,NA,NA,1,
s51265,no warning,Humanities,NA,N/A,NA,NA,1,
s51266,no warning,Humanities,NA,N/A,NA,NA,1,
s51271,no warning,Humanities,NA,N/A,NA,NA,1,
s51272,no warning,Humanities,NA,N/A,NA,NA,1,
s51273,no warning,Humanities,NA,N/A,NA,NA,1,
s51276,no warning,Humanities,NA,N/A,NA,NA,1,
s51280,no warning,Humanities,NA,N/A,NA,NA,1,
s51284,no warning,Humanities,NA,N/A,NA,NA,1,
s51285,no warning,Humanities,NA,N/A,NA,NA,1,
s51289,no warning,Humanities,NA,N/A,NA,NA,1,
s51290,no warning,Humanities,NA,N/A,NA,NA,1,
s51294,no warning,Humanities,NA,N/A,NA,NA,1,
s51295,no warning,Humanities,NA,N/A,NA,NA,1,
s51299,no warning,Humanities,NA,N/A,NA,NA,1,
s51302,no warning,Humanities,NA,N/A,NA,NA,1,
s51304,no warning,Humanities,NA,N/A,NA,NA,1,
s51307,no warning,Humanities,NA,N/A,NA,NA,1,
s51310,no warning,Humanities,NA,N/A,NA,NA,1,
s51316,no warning,Humanities,NA,N/A,NA,NA,1,
s51317,no warning,Humanities,NA,N/A,NA,NA,1,
s51322,no warning,Humanities,NA,N/A,NA,NA,1,
s51002,warning,Quantitative,NA,blank,,,1,
s51004,warning,Quantitative,NA,blank,,,1,
s51005,warning,Quantitative,NA,blank,,,1,
s51008,warning,Quantitative,NA,blank,,,1,
s51010,warning,Quantitative,NA,blank,,,1,
s51011,warning,Quantitative,NA,blank,,,1,
s51013,warning,Quantitative,NA,blank,,,1,
s51014,warning,Quantitative,NA,blank,,,1,
s51017,warning,Quantitative,NA,blank,,,1,
s51020,warning,Quantitative,NA,blank,,,1,
s51021,warning,Quantitative,NA,blank,,,1,
s51023,warning,Quantitative,NA,blank,,,1,
s51024,warning,Quantitative,NA,blank,,,1,
s51025,warning,Quantitative,NA,blank,,,1,
s51028,warning,Quantitative,NA,blank,,,1,
s51029,warning,Quantitative,NA,blank,,,1,
s51032,warning,Quantitative,NA,blank,,,1,
s51034,warning,Quantitative,NA,blank,,,1,
s51036,warning,Quantitative,NA,blank,,,1,
s51039,warning,Quantitative,NA,blank,,,1,
s51040,warning,Quantitative,NA,blank,,,1,
s51042,warning,Quantitative,NA,blank,,,1,
s51046,warning,Quantitative,NA,blank,,,1,
s51047,warning,Quantitative,NA,blank,,,1,
s51048,warning,Quantitative,NA,blank,,,1,
s51050,warning,Quantitative,NA,blank,,,1,
s51052,warning,Quantitative,NA,blank,,,1,
s51053,warning,Quantitative,NA,blank,,,1,
s51058,warning,Quantitative,NA,blank,,,1,
s51059,warning,Quantitative,NA,blank,,,1,
s51060,warning,Quantitative,NA,blank,,,1,
s51063,warning,Quantitative,NA,blank,,,1,
s51066,warning,Quantitative,NA,blank,,,1,
s51069,warning,Quantitative,NA,blank,,,1,
s51071,warning,Quantitative,NA,blank,,,1,
s51074,warning,Quantitative,NA,blank,,,1,
s51075,warning,Quantitative,NA,blank,,,1,
s51077,warning,Quantitative,NA,blank,,,1,
s51079,warning,Quantitative,NA,blank,,,1,
s51081,warning,Quantitative,NA,blank,,,1,
s51085,warning,Quantitative,NA,blank,,,1,
s51087,warning,Quantitative,NA,blank,,,1,
s51089,warning,Quantitative,NA,blank,,,1,
s51091,warning,Quantitative,NA,blank,,,1,
s51094,warning,Quantitative,NA,blank,,,1,
s51095,warning,Quantitative,NA,blank,,,1,
s51097,warning,Quantitative,NA,blank,,,1,
s51099,warning,Quantitative,NA,blank,,,1,
s51101,warning,Quantitative,NA,blank,,,1,
s51102,warning,Quantitative,NA,blank,,,1,
s51106,warning,Quantitative,NA,blank,,,1,
s51107,warning,Quantitative,NA,blank,,,1,
s51108,warning,Quantitative,NA,blank,,,1,
s51110,warning,Quantitative,NA,blank,,,1,
s51112,warning,Quantitative,NA,blank,,,1,
s51115,warning,Quantitative,NA,blank,,,1,
s51117,warning,Quantitative,NA,blank,,,1,
s51119,warning,Quantitative,NA,blank,,,1,
s51121,warning,Quantitative,NA,blank,,,1,
s51122,warning,Quantitative,NA,blank,,,1,
s51123,warning,Quantitative,NA,blank,,,1,
s51125,warning,Quantitative,NA,blank,,,1,
s51127,warning,Quantitative,NA,blank,,,1,
s51129,warning,Quantitative,NA,blank,,,1,
s51132,warning,Quantitative,NA,blank,,,1,
s51135,warning,Quantitative,NA,blank,,,1,
s51136,warning,Quantitative,NA,blank,,,1,
s51138,warning,Quantitative,NA,blank,,,1,
s51139,warning,Quantitative,NA,blank,,,1,
s51141,warning,Quantitative,NA,blank,,,1,
s51142,warning,Quantitative,NA,blank,,,1,
s51143,warning,Quantitative,NA,blank,,,1,
s51145,warning,Quantitative,NA,blank,,,1,
s51150,warning,Quantitative,NA,blank,,,1,
s51151,warning,Quantitative,NA,blank,,,1,
s51154,warning,Quantitative,NA,blank,,,1,
s51155,warning,Quantitative,NA,blank,,,1,
s51157,warning,Quantitative,NA,blank,,,1,
s51159,warning,Quantitative,NA,blank,,,1,
s51161,warning,Quantitative,NA,blank,,,1,
s51164,warning,Humanities,NA,blank,,,1,
s51166,warning,Humanities,NA,blank,,,1,
s51168,warning,Humanities,NA,blank,,,1,
s51170,warning,Humanities,NA,blank,,,1,
s51173,warning,Humanities,NA,blank,,,1,
s51175,warning,Humanities,NA,blank,,,1,
s51178,warning,Humanities,NA,blank,,,1,
s51182,warning,Humanities,NA,blank,,,1,
s51183,warning,Humanities,NA,blank,,,1,
s51185,warning,Humanities,NA,blank,,,1,
s51189,warning,Humanities,NA,blank,,,1,
s51191,warning,Humanities,NA,blank,,,1,
s51193,warning,Humanities,NA,blank,,,1,
s51196,warning,Humanities,NA,blank,,,1,
s51199,warning,Humanities,NA,blank,,,1,
s51200,warning,Humanities,NA,blank,,,1,
s51204,warning,Humanities,NA,blank,,,1,
s51208,warning,Humanities,NA,blank,,,1,
s51209,warning,Humanities,NA,blank,,,1,
s51211,warning,Humanities,NA,blank,,,1,
s51212,warning,Humanities,NA,blank,,,1,
s51215,warning,Humanities,NA,blank,,,1,
s51218,warning,Humanities,NA,blank,,,1,
s51219,warning,Humanities,NA,blank,,,1,
s51221,warning,Humanities,NA,blank,,,1,
s51223,warning,Humanities,NA,blank,,,1,
s51225,warning,Humanities,NA,blank,,,1,
s51227,warning,Humanities,NA,blank,,,1,
s51229,warning,Humanities,NA,blank,,,1,
s51231,warning,Humanities,NA,blank,,,1,
s51236,warning,Humanities,NA,blank,,,1,
s51238,warning,Humanities,NA,blank,,,1,
s51240,warning,Humanities,NA,blank,,,1,
s51242,warning,Humanities,NA,blank,,,1,
s51243,warning,Humanities,NA,blank,,,1,
s51245,warning,Humanities,NA,blank,,,1,
s51247,warning,Humanities,NA,blank,,,1,
s51248,warning,Humanities,NA,blank,,,1,
s51249,warning,Humanities,NA,blank,,,1,
s51250,warning,Humanities,NA,blank,,,1,
s51253,warning,Humanities,NA,blank,,,1,
s51255,warning,Humanities,NA,blank,,,1,
s51256,warning,Humanities,NA,blank,,,1,
s51257,warning,Humanities,NA,blank,,,1,
s51259,warning,Humanities,NA,blank,,,1,
s51262,warning,Humanities,NA,blank,,,1,
s51263,warning,Humanities,NA,blank,,,1,
s51267,warning,Humanities,NA,blank,,,1,
s51269,warning,Humanities,NA,blank,,,1,
s51270,warning,Humanities,NA,blank,,,1,
s51274,warning,Humanities,NA,blank,,,1,
s51275,warning,Humanities,NA,blank,,,1,
s51277,warning,Humanities,NA,blank,,,1,
s51279,warning,Humanities,NA,blank,,,1,
s51281,warning,Humanities,NA,blank,,,1,
s51282,warning,Humanities,NA,blank,,,1,
s51286,warning,Humanities,NA,blank,,,1,
s51287,warning,Humanities,NA,blank,,,1,
s51288,warning,Humanities,NA,blank,,,1,
s51291,warning,Humanities,NA,blank,,,1,
s51292,warning,Humanities,NA,blank,,,1,
s51293,warning,Humanities,NA,blank,,,1,
s51296,warning,Humanities,NA,blank,,,1,
s51298,warning,Humanities,NA,blank,,,1,
s51300,warning,Humanities,NA,blank,,,1,
s51301,warning,Humanities,NA,blank,,,1,
s51303,warning,Humanities,NA,blank,,,1,
s51305,warning,Humanities,NA,blank,,,1,
s51306,warning,Humanities,NA,blank,,,1,
s51308,warning,Humanities,NA,blank,,,1,
s51311,warning,Humanities,NA,blank,,,1,
s51312,warning,Humanities,NA,blank,,,1,
s51314,warning,Humanities,NA,blank,,,1,
s51315,warning,Humanities,NA,blank,,,1,
s51318,warning,Humanities,NA,blank,,,1,
s51319,warning,Humanities,NA,blank,,,1,
s51320,warning,Humanities,NA,blank,,,1,
s51321,warning,Humanities,NA,blank,,,1,
s51323,warning,Humanities,NA,blank,,,1,
s51324,warning,Humanities,NA,blank,,,1,
