participantID,subject_condition,field,group,duration,check,DB_approach_select,DB_approach_select_1,DB_approach_select_2,DB_approach_select_3,DB_approach_select_4,DB_approach_select_5,DB_approach_select_6,DB_approach_other,DB_w_approach,DB_nw_notice,DB_misleading_estimate,db_misleading_estimate
s51012,no warning,Quantitative,B,981,NA,2,0,1,0,0,0,0,NA,NA,"I went back and forth about taking into account the y-axis--on the one hand, differences in what was being graphed could make a big difference (10s versus millions and the difference in bars might matter more), but on the other hand, if the bars all are measured the same (e.g., are all in the millions), then relatively speaking, the difference should be the same.",50,50
s51013,warning,Quantitative,B,2754,wrong,1,1,0,0,0,0,0,NA,How would you describe your approach to graphs that were misleading? I divided numbers and compared the ratio with 1.,NA,29,29
s51014,warning,Quantitative,B,847,right,126,1,1,0,0,0,1,Look at % differences,NA,NA,51,51
s51015,no warning,Quantitative,B,1896,NA,145,1,0,0,1,1,0,NA,NA,The size of the bars that were also present but not part of the question often influenced my answer because it gave me more of a sense of the range of the values. I found graphs that had percentages on the y axis easier to interpret,64,64
s51016,no warning,Quantitative,A,1114,NA,12,1,1,0,0,0,0,NA,NA,NA,50,50
s51017,warning,Quantitative,A,1104,right,46,0,0,0,1,0,1,I considered sample size and usual fluctuation of data,NA,NA,70,70
s51018,no warning,Quantitative,B,1906,NA,1,1,0,0,0,0,0,NA,NA,NA,36,36
s51019,no warning,Quantitative,B,1253,NA,156,1,0,0,0,1,1,"Background knowledge to form an idea of effect size that impacts importance of what the graph is trying to convey. All animals given in example of big animal graphs were heavy. Thus, maybe difference between brown bear and cow is moderately important. However, if it was a graph of al animals, cows, bears, and mice, then the difference between cows and bears is insignificant.",NA,I'm a PhD student who works with quantitative data. Hope this doesn't skew your results :) Good luck.,75,75
s51020,warning,Quantitative,A,1774,right,1,1,0,0,0,0,0,NA,Tried to make an estimation of the percentage difference between bars based on the y-axis,NA,65,65
s51021,warning,Quantitative,B,613,right,1,1,0,0,0,0,0,NA,NA,NA,50,50
s51022,no warning,Quantitative,B,1285,NA,124,1,1,0,1,0,0,NA,NA,NA,80,80
s51023,warning,Quantitative,A,1889,right,12,1,1,0,0,0,0,NA,I would always read the title of the y-axis to understand the units of the y-axis,NA,29,29
s51024,warning,Quantitative,A,1354,right,2,0,1,0,0,0,0,NA,NA,NA,25,25
s51025,warning,Quantitative,B,1451,right,14,1,0,0,1,0,0,NA,look at the scale on the y-axis and determine if the difference between ticks is a lot/little compared to lowest tick and 0,NA,34,34
s51026,no warning,Quantitative,A,2154,NA,12,1,1,0,0,0,0,NA,NA,NA,70,70
s51027,no warning,Quantitative,B,2734,NA,124,1,1,0,1,0,0,NA,NA,"Usually there were other differences that contextualized the difference being examined - for example, if there are 6 bars that look nearly identical and then one that is half a centimeter higher, that half centimeter looks more different than if it was with a bunch of similarly varying bars.",33,33
s51028,warning,Quantitative,A,103503,right,12,1,1,0,0,0,0,NA,NA,NA,60,60
s51029,warning,Quantitative,B,9381,right,15,1,0,0,0,1,0,NA,NA,NA,61,61
s51030,no warning,Quantitative,A,884,NA,126,1,1,0,0,0,1,Comparing the distance between the top of the bars to the top of the graph,NA,"I frequently got annoyed when I saw the axes were some tiny difference and the bars were vastly different, as I usually compared bars first, and then had to reevaluate my idea of the difference between the bars. Also some of the percents over 80% seemed like it would have been better to look at the other way, i.e. Looking at percent of non-cremation rather than cremation.",48,48
s51031,no warning,Quantitative,B,860,NA,15,1,0,0,0,1,0,NA,NA,NA,40,40
s51032,warning,Quantitative,A,1490,right,135,1,0,1,0,1,0,NA,"assume that there's a flaw in potential conclusions that could be drawn from misleading graphs. mentally adjust the axis so that it starts at 0, for example. compare two bars by the proportion of change.",NA,50,50
s51033,no warning,Quantitative,B,1293,NA,14,1,0,0,1,0,0,NA,NA,I really missed error bars or 95% CIs.,50,50
s51034,warning,Quantitative,A,2149,right,146,1,0,0,1,0,1,"If applicable, calculate the % difference and applying some rough criteria (e.g., 1% - 15% =&gt; rating 2, 16% - 23% =&gt; rating 3). As you can tell, the criteria are not very principled.","If a difference ""feels"" or ""looks"" really big but the y-axis numbers tell me otherwise and I cannot resolve the two, I calculate the % of difference (if applicable) and apply a rough criterion, as mentioned previously (e.g., difference between 30% and 35% get a rating of 3, 36% to 40% get a rating of 4). I don't apply these criteria in a very principled manner, as you can tell. But in the case of graphs that I know are misleading, I just look away from the graph and focus on the % difference I calculated in my head.

Sometimes I rely on the tip that you reminded me of at the beginning (look at where the y-axis starts) to remind myself that a difference looks big only because of scaling issues.",NA,50,50
s51035,no warning,Quantitative,B,735,NA,1,1,0,0,0,0,0,NA,NA,The y-axis didn't start always start at 0 so looking at the scales was important.,61,61
s51036,warning,Quantitative,A,606,right,12,1,1,0,0,0,0,NA,"Actually quantifying the numbers on the Y-AXIS and comparing values, as opposed to bars",NA,45,45
s51037,no warning,Quantitative,A,1011,NA,1,1,0,0,0,0,0,NA,NA,NA,50,50
s51038,no warning,Quantitative,B,1141,NA,1,1,0,0,0,0,0,NA,NA,They had very different scales,40,40
s51039,warning,Quantitative,B,990,right,1,1,0,0,0,0,0,NA,NA,NA,30,30
s51040,warning,Quantitative,A,1339,right,125,1,1,0,0,1,0,NA,"Checking the axes to see if they include zero/baseline, checking if axes have equivalent intervals between points, comparing corresponding numerical value of a bar's height to another bar to see how different they truly are despite the appearance of the bars, using contextual information to judge (for example, the difference of ten thousand dollars means something different when comparing two average Americans' incomes [$50,000 vs. $60,000] than does Vin Diesel and Jackie Chan's enormous salaries).",NA,40,40
s51041,no warning,Quantitative,A,690,NA,24,0,1,0,1,0,0,NA,NA,NA,80,80
s51042,warning,Quantitative,B,349,right,12345,1,1,1,1,1,0,NA,NA,NA,99,99
s51043,no warning,Quantitative,A,970,NA,2,0,1,0,0,0,0,NA,NA,NA,51,51
s51044,no warning,Quantitative,B,545,NA,2,0,1,0,0,0,0,NA,NA,NA,31,31
s51045,no warning,Quantitative,A,1239,NA,124,1,1,0,1,0,0,NA,NA,NA,43,43
s51046,warning,Quantitative,B,1031,right,1,1,0,0,0,0,0,NA,NA,NA,49,49
s51047,warning,Quantitative,B,1307,right,1,1,0,0,0,0,0,NA,"I tried to get more information about the information presented, for example the variable presented on the y-axis, and what differences in this variable really mean. Billions of dollars vs. thousands of people certainly means something different when the same space is devoted to this variable.",NA,55,55
s51048,warning,Quantitative,A,1149,right,14,1,0,0,1,0,0,NA,NA,NA,60,60
s51049,no warning,Quantitative,A,3126,NA,1,1,0,0,0,0,0,NA,NA,"I noticed that the scaling of the y axis varied substantially across graphs. Depending on the scaling, this magnified or diminished the apparent visual difference between bars. To prevent the scaling from biasing my judgments too much, I tried to visually estimate the absolute value for the categories and mentally compute a ratio between them. I calibrated the rating scale to different ratio values, e.g. a value around 1.1X was rated a 2, 1.25X=3, 1.5X=4, 1.75X=5, 2X=6, and &gt;2X= 7. I generally didn't take into account the nature of the data being presented.",65,65
s51050,warning,Quantitative,B,4048,right,1,1,0,0,0,0,0,NA,Misleading graphs are harder. I had to think first which was the right scale before answering the questions.,NA,31,31
s51051,no warning,Quantitative,A,1532,NA,126,1,1,0,0,0,1,calculations based on values such as difference ratios,NA,the average bachelor's degree income (which i presume includes social science majors) was much higher than the starting wage of grad students in social sciences,60,60
s51052,warning,Quantitative,B,1018,right,12,1,1,0,0,0,0,NA,NA,NA,95,95
s51053,warning,Quantitative,A,3743,right,1,1,0,0,0,0,0,NA,Try to look at the y-axis and the units,NA,82,82
s51054,no warning,Quantitative,A,1930,NA,1245,1,1,0,1,1,0,NA,NA,NA,0,0
s51055,no warning,Quantitative,A,1013,NA,1,1,0,0,0,0,0,NA,NA,NA,40,40
s51056,no warning,Quantitative,B,3124,NA,12,1,1,0,0,0,0,NA,NA,"Yes, one interesting thing that I noticed is that units of measurement varied widely across graphs",70,70
s51057,no warning,Quantitative,A,987,NA,1,1,0,0,0,0,0,NA,NA,NA,40,40
s51058,warning,Quantitative,B,2429,right,1,1,0,0,0,0,0,NA,I simply calculated the percent change and then picked the appropriate bin (0% being not much different to 100% being completely different).,NA,71,71
s51059,warning,Quantitative,B,547,right,12,1,1,0,0,0,0,NA,NA,NA,41,41
s51060,warning,Quantitative,A,1572,right,1256,1,1,0,0,1,1,calculating percentage differences,I looked at the percentage difference between the bars,NA,32,32
s51061,no warning,Quantitative,B,1676,NA,124,1,1,0,1,0,0,NA,NA,NA,65,65
s51062,no warning,Quantitative,A,6315,NA,124,1,1,0,1,0,0,NA,NA,NA,85,85
s51063,warning,Quantitative,B,4068,right,12,1,1,0,0,0,0,NA,NA,NA,37,37
s51064,no warning,Quantitative,B,903,NA,12,1,1,0,0,0,0,NA,NA,NA,48,48
s51065,no warning,Quantitative,A,1027,NA,15,1,0,0,0,1,0,NA,NA,"Some graphs had axes manipulated to exaggerate small differences or downplay large differences. Another manipulation was include very large or small items to the set to downplay or exaggerate the difference between comparison items, respectfully",32,32
s51066,warning,Quantitative,A,1397,right,126,1,1,0,0,0,1,"Trying to judge the info in context of the question's topic -- e.g., a difference of 1 million fewer visitors to a museum may not be a large difference relative to the overall rate of visitors at museums in general, but 1 million fewer per year may still be a large difference for that particular museum.","I tried to first note whether the values on the vertical axis were starting from the appropriate baseline, and then if not, considered the units on the graph (e.g., a difference in 1% is quite small; a difference of 1 billion is quite large even if the graphs do not start at the appropriate baseline).",NA,50,50
s51067,no warning,Quantitative,B,2256,NA,156,1,0,0,0,1,1,Comparing the focal difference to the variance between bars in the chart,NA,"Some of the graphs had y-axes that began at zero, whereas others did not. I also assume that the experiment manipulated factors such as visual distance between bars, relative distance between bars (e.g., intentionally similar or dissimilar ""distractor"" bars), and the mapping of physical/relative distances to numerical values, but I certainly couldn't reverse-engineer the experimental design.",50,50
s51068,no warning,Quantitative,A,1292,NA,12,1,1,0,0,0,0,NA,NA,NA,61,61
s51069,warning,Quantitative,A,802,right,12,1,1,0,0,0,0,NA,NA,NA,40,40
s51070,no warning,Quantitative,B,35171,NA,1,1,0,0,0,0,0,NA,NA,NA,20,20
s51071,warning,Quantitative,B,1472,right,12,1,1,0,0,0,0,NA,NA,NA,51,51
s51072,no warning,Quantitative,A,697,NA,1,1,0,0,0,0,0,NA,NA,NA,40,40
s51073,no warning,Quantitative,A,131314,NA,14,1,0,0,1,0,0,NA,NA,NA,50,50
s51074,warning,Quantitative,A,1009,right,1,1,0,0,0,0,0,NA,I immediately checked the y-axis: not only the difference between units but also what the unit was (i.e. kilograms vs. percentage vs. millions) and tried the make a more accurate judgment with a fuller understanding of the graph.,NA,61,61
s51075,warning,Quantitative,B,1105,right,15,1,0,0,0,1,0,NA,I looked at the number value based on the y-axis and compared those values to determine the difference,NA,43,43
s51076,no warning,Quantitative,B,1019,NA,12,1,1,0,0,0,0,NA,NA,"no error bars -- makes it difficult to interpret small differences. so if the difference was only 2-5 units, i usually said the bars weren't different but it could be the case that the small difference is actually significant",41,41
s51077,warning,Quantitative,B,158830,right,1256,1,1,0,0,1,1,wishing every second of the way there were error bars!!!!,"I tried to look at the numbers. This was super frustrating for me because it's hard to infer a difference without some understanding of what that ""normal"" range is for a given question. For example, what's the average length of a river and how much typical deviation is there from the average? How do the rivers shown differ from the average? It seems to me that the import of each value means much more in relation to these measures. If one river is above average and well outside of the typical deviation range, and another is below average and well outside of the typical deviation, that is meaningful, even if comparison of the actual numbers is tiny.",NA,56,56
s51078,no warning,Quantitative,B,841,NA,12,1,1,0,0,0,0,NA,NA,NA,50,50
s51079,warning,Quantitative,A,1557,right,16,1,0,0,0,0,1,"Judging the importance of the material (e.g. if was human lives), it was count data vs. ""percentage change"", estimating percent change in y axis and ignoring irrelevant bars.","I don't think I approached any of the graphs thinking they were misleading. I looked at the Y axis each time to figure out how big of a change it was and used other information such as the material being discussed to decide how big of a change it was. I think how important of a change it was got conflated in my answers. For instance, the change in people using a cell phone carrier didn't matter as much as number of people dying. Also, concrete numbers such as count data were easier/ preferable to interpret than abstract ys.",NA,45,45
s51080,no warning,Quantitative,A,763,NA,1,1,0,0,0,0,0,NA,NA,NA,40,40
s51081,warning,Quantitative,B,921,right,1,1,0,0,0,0,0,NA,NA,NA,52,52
s51082,no warning,Quantitative,A,73990,NA,4,0,0,0,1,0,0,NA,NA,I tried to measure the difference from other factors also. For example Russia is very cold than Thailand so I thought the environmental effect is there among people smoking cigarettes.,40,40
s51083,no warning,Quantitative,B,752,NA,3,0,0,1,0,0,0,NA,NA,NA,39,39
s51084,no warning,Quantitative,A,1116,NA,12,1,1,0,0,0,0,NA,NA,scaling seems off/truncated sometimes?,30,30
s51085,warning,Quantitative,B,899,right,15,1,0,0,0,1,0,NA,NA,NA,51,51
s51086,no warning,Quantitative,A,1449,NA,124,1,1,0,1,0,0,NA,NA,"The graphs varied in thickness, I think that will introduce a bias in my judgement. The scale on the y-axis was also rarely starting at zero, tricking me into thinking things are more different than they actually are. 
Also, some extreme graphs about subjects I cared about were surprising until I realized that the y-axis scale didn't start at zero.",95,95
s51087,warning,Quantitative,B,706,right,1,1,0,0,0,0,0,NA,NA,NA,35,35
s51088,no warning,Quantitative,A,754,NA,1456,1,0,0,1,1,1,Always checking to see if y-axis starts at 0 or not. That's an easy way to decieve the reader.,NA,NA,50,50
s51089,warning,Quantitative,B,1281,right,1,1,0,0,0,0,0,NA,"The same as not misleading graphs. In particular, judging differences as per their y-axis value. The fact that graphs could be misleading makes me first do a quick check of the y-axis values. But then I look at the graph and let in the ""visual information"" (specially when it comes to times series data)",NA,50,50
s51090,no warning,Quantitative,A,740,NA,24,0,1,0,1,0,0,NA,NA,NA,37,37
s51091,warning,Quantitative,B,999,right,1,1,0,0,0,0,0,NA,NA,NA,100,100
s51092,no warning,Quantitative,A,2725,NA,124,1,1,0,1,0,0,NA,NA,I felt more precise when the information on the y axis is a relative metric.,36,36
s51093,no warning,Quantitative,B,640,NA,15,1,0,0,0,1,0,NA,NA,NA,39,39
s51094,warning,Quantitative,A,1149,right,1246,1,1,0,1,0,1,The categories had different weights as well. Weight seemed like a starker difference than runway length. Probably because I use weight more in daily life and understand it more than what runway length means to a pilot.,"Again, the categories had different affects on my perception as well. Weight seemed like a starker difference than runway length. Probably because I use weight more in daily life and understand it more than what runway length means to a pilot.

I think some of the topics made me think “wow that is a big difference” than others.

Before this survey I probably wouldn’t have paid as much attention to the y-axis starting point as I should have. Having the example in the beginning was helpful but the graphs were sometimes still misleading.",NA,45,45
s51095,warning,Quantitative,B,735,right,1,1,0,0,0,0,0,NA,NA,NA,40,40
s51096,no warning,Quantitative,A,1520,NA,1,1,0,0,0,0,0,NA,NA,NA,63,63
s51097,warning,Quantitative,B,1254,right,124,1,1,0,1,0,0,NA,NA,NA,35,35
s51098,no warning,Quantitative,A,2171,NA,4,0,0,0,1,0,0,NA,NA,NA,50,50
s51099,warning,Quantitative,A,1239,right,124,1,1,0,1,0,0,NA,"Using the advice about the y axis truncation, when I was faced with a truncated graph I would typically consider the ratio of values I was asked to compare. If one category was nearly double the other, that likely indicated the values were quite different.",NA,60,60
s51100,no warning,Quantitative,A,1718,NA,12,1,1,0,0,0,0,NA,NA,NA,40,40
s51101,warning,Quantitative,B,1002,right,1,1,0,0,0,0,0,NA,When I see something misleading i do a more detailed analysis,NA,50,50
s51102,warning,Quantitative,B,1188,right,2,0,1,0,0,0,0,NA,NA,NA,50,50
s51103,no warning,Quantitative,A,433768,NA,1,1,0,0,0,0,0,NA,NA,NA,60,60
s51104,no warning,Quantitative,A,1594,NA,1,1,0,0,0,0,0,NA,NA,NA,45,45
s51105,no warning,Quantitative,A,258353,NA,1,1,0,0,0,0,0,NA,NA,The Y axis rarely started at 0,65,65
s51106,warning,Quantitative,B,1132,right,1,1,0,0,0,0,0,NA,I tried to compute the ratio of the difference between the bars to the value of the smaller bar in all graphs. This is harder if the graph axis doesn't include 0 and made harder if there are fewer ticks on the y-axis.,NA,50,50
s51107,warning,Quantitative,A,303541,right,1,1,0,0,0,0,0,NA,Forgetting about the apparent visual differences and seeing how different the numbers were,NA,52,52
s51108,warning,Quantitative,A,710,right,1246,1,1,0,1,0,1,I tried to be less of a scientist,"I'd look at the axes. In the beginning I only looked at them visually, then I started to look at the y-axis. The prompt to ""not look at the graphs too long"" led me to believe you did not want me to look at the y-axis. I switched my strategy half-way in, though and started to consider that information on the y-axis.",NA,49,49
s51109,no warning,Quantitative,B,2419,NA,16,1,0,0,0,0,1,Trying to figure out the percent difference,NA,Anchoring bias and the scale sometimes made differences look larger than they were,69,69
s51110,warning,Quantitative,B,759,right,12,1,1,0,0,0,0,NA,NA,NA,40,40
s51111,no warning,Quantitative,A,1483,NA,1,1,0,0,0,0,0,NA,NA,"There were no error bars, so comparing the difference was difficult. The y-axis of some graphs had a wider range and some had a narrower range.",40,40
s51112,warning,Quantitative,B,325115,right,1,1,0,0,0,0,0,NA,NA,NA,35,35
s51113,no warning,Quantitative,A,438066,NA,146,1,0,0,1,0,1,looking at the Y values,NA,NA,12,12
s51114,no warning,Quantitative,B,1773,NA,1,1,0,0,0,0,0,NA,NA,Scaling of some of them was very misleading,50,50
s51115,warning,Quantitative,A,1339,right,6,0,0,0,0,0,1,Intuiting standard deviation within the vague category and then gauging z-score of difference.,NA,NA,42,42
s51116,no warning,Quantitative,B,5066,NA,15,1,0,0,0,1,0,NA,NA,NA,50,50
s51117,warning,Quantitative,A,13549,right,1,1,0,0,0,0,0,NA,NA,NA,55,55
s51118,no warning,Quantitative,B,2288,NA,156,1,0,0,0,1,1,"Using the scale of the value i.e. rate, dollar, others",NA,NA,35,35
s51119,warning,Quantitative,A,912,right,24,0,1,0,1,0,0,NA,NA,NA,40,40
s51120,no warning,Quantitative,B,1231,NA,1,1,0,0,0,0,0,NA,NA,NA,40,40
s51121,warning,Quantitative,A,3005,right,1,1,0,0,0,0,0,NA,NA,NA,30,30
s51122,warning,Quantitative,A,1806,right,15,1,0,0,0,1,0,NA,"I think that without the sample of a misleading graph at the beginning, I would have relied a lot more on a strategy of answering the questions based on how different the bars ""feel"" from an overall perspective. The sample definitely motivated me to think more carefully about the axis of each graph.",NA,50,50
s51123,warning,Quantitative,A,590,right,1,1,0,0,0,0,0,NA,NA,NA,40,40
s51124,no warning,Quantitative,A,1186,NA,15,1,0,0,0,1,0,NA,NA,NA,35,35
s51125,warning,Quantitative,B,1590,right,145,1,0,0,1,1,0,NA,It was easy to find misleading graphs.,NA,50,50
s51126,no warning,Quantitative,A,1938,NA,1256,1,1,0,0,1,1,"I generally tried to approximate the percent difference, and base my ratings on these magnitudes. I also occasionally used the context (a ~6 state change from 1860-1880 is 12% of all states, etc.)",NA,"Late in the survey, I did wonder how much additional data points affected my judgment (i.e. cremations in Japan is 100%). Though this does seem like ""useful"" information for judging magnitudes.",80,80
s51127,warning,Quantitative,B,1402,right,12,1,1,0,0,0,0,NA,"Reading values off of the y-axis

In making my responses, I found myself taking into account real-world knowledge (if I had it) and displayed info (if I didn't have real-world knowledge) about the range of possible/likely values in order to decide how ""big"" a difference something was. I also thought about real-world consequences - a difference of $10,000 in personal income is ""bigger"" in some sense than a difference in 10,000 people attending a sports event.",NA,43,43
s51128,no warning,Quantitative,B,856,NA,125,1,1,0,0,1,0,NA,NA,NA,30,30
s51129,warning,Quantitative,A,1199,right,1,1,0,0,0,0,0,NA,NA,NA,44,44
s51130,no warning,Quantitative,B,1710,NA,12,1,1,0,0,0,0,NA,NA,NA,30,30
s51131,no warning,Quantitative,A,1146,NA,14,1,0,0,1,0,0,NA,NA,NA,60,60
s51132,warning,Quantitative,A,1104,right,156,1,0,0,0,1,1,Converting numeric differences to % differences,"For misleading graphs, I revisualize a non-misleading version.",NA,60,60
s51133,no warning,Quantitative,B,1532,NA,4,0,0,0,1,0,0,NA,NA,NA,39,39
s51134,no warning,Quantitative,A,755,NA,14,1,0,0,1,0,0,NA,NA,"As the test went by, I took a deeper look into the values of y-axis. At first, I only cared about how I feel (the way the graph looked).",50,50
s51135,warning,Quantitative,B,1948,right,1356,1,0,1,0,1,1,Use of error bars when present,I generally do not trust bars without any indication of sampling error (i.e- error bars). I tend to use the knowledge of the topic at hand (or the measurement in the Y-axis) to make better inferences.,NA,80,80
s51136,warning,Quantitative,B,2025,right,125,1,1,0,0,1,0,NA,I pay more attention to the actual values than the visual appearance.,NA,60,60
s51137,no warning,Quantitative,A,789,NA,1,1,0,0,0,0,0,NA,NA,NA,20,20
s51138,warning,Quantitative,A,2400,right,145,1,0,0,1,1,0,NA,NA,NA,25,25
s51139,warning,Quantitative,B,1103,right,12,1,1,0,0,0,0,NA,I was careful to look at the values on the y-axis and judge the difference between bars based on percent deviations rather than the visual appearance of the bar heights.,NA,45,45
s51140,no warning,Quantitative,A,1162,NA,124,1,1,0,1,0,0,NA,NA,"The graphs had y-axes that were measured in various units (billions, thousands, percentages, etc.). Also, many of the graphs began from y = 0, but also many of them did not: some restricted the range of the y-axis to be within a range [a,b]",37,37
s51141,warning,Quantitative,A,1217,right,1,1,0,0,0,0,0,NA,"Referring to the y-axis as a default helped a lot. However, it was difficult to know in general what a meaningful/practical difference was because I didn't know how the current totals differed historically, or in comparison to anything else except the 1-3ish other conditions.",NA,29,29
s51142,warning,Quantitative,A,3167,right,6,0,0,0,0,0,1,Determining the actual percentage difference of measurements,"As I mentioned before, my approach consists of doing some mental math in order to determine the percentage difference between the two quantities I want to compare, and then assigning a number from 1 to 7 according to that percentage difference. For example, if the two quantities are more than 100% apart, I respond with 7. If they are about 10% apart, I respond with 2.",NA,33,33
s51143,warning,Quantitative,B,1266,right,1,1,0,0,0,0,0,NA,I simply compare the absolute values.,NA,66,66
s51144,no warning,Quantitative,B,854,NA,1245,1,1,0,1,1,0,NA,NA,"There were never standard error bars. On some graphs, the range of y-values was very large and on some it was very small.",60,60
s51145,warning,Quantitative,A,841,right,1,1,0,0,0,0,0,NA,NA,NA,31,31
s51146,no warning,Quantitative,B,961,NA,1,1,0,0,0,0,0,NA,NA,NA,50,50
s51147,no warning,Quantitative,B,1051,NA,1,1,0,0,0,0,0,NA,NA,NA,36,36
s51148,no warning,Quantitative,B,59993,NA,1,1,0,0,0,0,0,NA,NA,"Looked at scales on the graphs. I also will say that my responses were influenced by how important I thought the dependent variable was (for example, I weighed differences in mortality rate more heavily than differences in income for people who already make millions per year). 
Also, one of the questions misspelled ""mother"".",61,61
s51149,no warning,Quantitative,A,1805,NA,1,1,0,0,0,0,0,NA,NA,NA,80,80
s51150,warning,Quantitative,A,1139,right,15,1,0,0,0,1,0,NA,NA,NA,40,40
s51151,warning,Quantitative,B,2791,right,156,1,0,0,0,1,1,I tried to estimate the differences as a percent to make the answers comparable across graphs.,"I didn't find any of the graphs particularly misleading. They were all clearly labeled, even though some of them didn't include zero. I think the difficulty you're going to have is distinguishing between a graph being misleading and a context dependent definition of a ""big difference."" For example if I remember correctly, the cow question compared something like 750 kilo cows to 550 kilo bears. 200 kilos is a little less than 40% of the bears weight or about 30% of the cows weight  which is big difference, but since I'm not particularly interested in bears or cows I was more inclined to rate the difference as small or moderate. The water coverage question on the other hand, showed a difference of  a couple of percentage points. But I interpreted water coverage to be a description of access to drinking water, which I'm now realizing may not be what it was showing, but in any event, I care a lot more about people having access to clean drinking water. Since a couple of percentage points could be millions of people I'm more inclined to think the difference is large. I'm sure you've already thought about it, but that would be my concern if I was reading the results of your paper.",NA,50,50
s51152,no warning,Quantitative,A,626,NA,124,1,1,0,1,0,0,NA,NA,NA,75,75
s51153,no warning,Quantitative,B,1350,NA,1245,1,1,0,1,1,0,NA,NA,NA,30,30
s51154,warning,Quantitative,B,1174,right,1,1,0,0,0,0,0,NA,"Step 1: Look at y axis, see values
Step 2: make horizontal line in head
Step 3: compare values of two things in question. One is 50% bigger than the other, that's a 4. 2xs as big is a 6, 3x or more is a 7. 15-25% bigger is 2-3, else a 1. That's how to approach in this.

Generally just always look at the axes. Always also think about the question the data is trying to answer. Even if the graph were accurate and truthfully portrayed the data, the data itself could be suspect or misleading, perhaps showing spurious correlations to show relationships, perhaps it misses key confounding variables, etc.",NA,50,50
s51155,warning,Quantitative,A,866,right,1,1,0,0,0,0,0,NA,Very confusing what the 1-7 scale was supposed to represent. Didn't know if it was whether the different was significant in context of the relevant matter or if it was some absolute number scale.,NA,70,70
s51156,no warning,Quantitative,A,1048,NA,1,1,0,0,0,0,0,NA,NA,"Without error bars, I wasn't sure how to tell the difference. I tried to infer the within group variance from between, but wasn't quite confident.",51,51
s51157,warning,Quantitative,B,1951,right,1,1,0,0,0,0,0,NA,"I try to always estimate the differences in terms of the the percentage of the taller bar.
For example, if the value of bar A is 50, and the value of bar B is 40, I'll compute the difference as (50-40)/50 = 20%
Then I choose the Likert scale based on this estimation.
But I feel uneasy about applying this heuristics to some of the values. For instance, the difference between the heights of mountains shouldn't be estimated in this way. For two mountains, a difference in something like 1000 feet should be extremely different, regardless of the ratio of this difference to the actual height of any one of the mountains in question.",NA,42,42
s51158,warning,Quantitative,B,1160,wrong,1,1,0,0,0,0,0,NA,I think the scale 1-5 seems a bit subjective,NA,NA,NA
s51159,no warning,Quantitative,A,2499,NA,14,1,0,0,1,0,0,NA,NA,NA,40,40
s51160,warning,Quantitative,B,376254,right,5,0,0,0,0,1,0,NA,NA,NA,51,51
