participantID,field,subject_condition,group,duration,duration_min,check,dem_age,dem_gender,dem_language,dem_language_other,dem_ed,dem_school,dem_program,dem_year,dem_stat_formal,training_formal,dem_stat_informal,training_informal,dem_stat_workshop,training_workshop,dem_stat_other,training_other,dem_stat_none
s51050,Quantitative,warning,B,4048,67.46666666666667,right,30,male,2,spanish,7,Upenn,5th year PhD student in Economics,5,1,2 semesters of econometrics in graduate school,0,NA,0,NA,0,NA,0
s51051,Quantitative,no warning,A,1532,25.533333333333335,NA,29,male,1,NA,8,Washington University,4th year PhD student in Psychology,4,1,3 semesters of statistics in graduate school + currently enrolled in another course,0,NA,1,a few 1 hour long workshops in using R,1,advisors and senior grad students teaching and consulting me on statistical methods and interpretation,0
s51052,Quantitative,warning,B,1018,16.966666666666665,right,28,male,2,turkish,8,Upenn,Fourth year PhD student in Econ,NA,1,(1 semester of statistics + 2 semesters of econometrics) in undergrad + 2 semesters of econometrics in graduate school,0,NA,0,NA,0,NA,0
s51053,Quantitative,warning,A,3743,62.38333333333333,right,24,female,2,chinese,8,Washington University,4th year PhD student in Psychology,4,1,3 semesters of stats and research methods,0,NA,0,NA,0,NA,0
s51054,Quantitative,no warning,A,1930,32.166666666666664,NA,22,female,2,mandarin,7,Washington University,1st year PhD student in Psychology,1,1,2 courses of stat in undergrad + 1 ongoing course in graduate school on Quantitative Methods and R,0,NA,1,8 hour workshop on R,0,-,0
s51055,Quantitative,no warning,A,1013,16.883333333333333,NA,26,male,1,NA,8,Washington University,4th year PhD student in Psychology,4,1,4 courses on statistics in graduate school,0,NA,1,Several 1-hour workshops on data visualization in R,0,Self-taught statistics and data visualization,0
s51056,Quantitative,no warning,B,3124,52.06666666666667,NA,23,female,1,NA,7,Washington University,2nd year PhD student in Psychology,2,1,2 semesters of statistics in graduate school + current enrollment in Research Methods course which involves some statistical analyses,0,NA,0,NA,0,NA,0
s51057,Quantitative,no warning,A,987,16.45,NA,27,male,1,NA,8,Upenn,6th year PhD student in psychology,6,1,"Two undergraduate courses in introductory statistics, graduate courses in regression, anova, and nonparametrics",1,"Attempted a Coursera course on Bayesian analysis (did not get far, cannot recall which one)",1,Webinar on general linear models hosted by SPSP,1,"Worked through the following textbooks individually:
Statistical methods for ranking data by Alvo & Yu
Statistical Rethinking by McElreath
Dyadic Data Analysis by Kenny
Introduction to Meta-Analysis by Borenstein et al
",0
s51058,Quantitative,warning,B,2429,40.483333333333334,right,26,male,1,NA,7,Upenn,3rd year PhD student in Economics,3,1,Graduate econometrics,0,NA,1,My previous company required me to frequently manipulate data with Excel and Stata,1,I read publications like WSJ and The Economist which use graphs and tables frequently,0
s51059,Quantitative,warning,B,547,9.116666666666667,right,28,female,1,NA,8,Washington University,6th year phd student in psychology,6,1,"3 semesters of statistics, teaching assistant for graduate statistics course (3 semesters)",1,"coursera classes in machine learning, R workshops",1,taught multiple workshops on data visualization,1,NA,0
s51060,Quantitative,warning,A,1572,26.2,right,26,male,1,NA,7,Upenn,2nd-year PhD student in Economics,2,1,"3 econometrics/statistics courses in college, 3 econometrics courses in graduate school, 1 coursera course on R",1,NA,1,workshop on R through a previous job,1,have worked in empirical research for two years in R and Stata,0
s51061,Quantitative,no warning,B,1676,27.933333333333334,NA,24,female,1,NA,8,Washington University,3rd year PhD student in Cognitive Psychology,3,1,2 semesters of statistics in undergraduate and 3 semesters of statistics in graduate school,1,Participated in an informal R learning group,1,I've taken a few 1 or 2 hour workshops in R throughout graduate school,1,I work with statistics for my own research,0
s51062,Quantitative,no warning,A,6315,105.25,NA,24,female,1,NA,6,Washington University,1st year PhD student in Psychology,1,1,Currently in a semester of statistics in graduate school + one summer course on Introductory Statistics during undergrad,0,NA,0,NA,0,NA,0
s51063,Quantitative,warning,B,4068,67.8,right,35,male,2,turkish,8,Upenn,Phd econ,NA,0,NA,0,NA,0,NA,0,NA,1
s51064,Quantitative,no warning,B,903,15.05,NA,34,male,2,french,8,Washington University,2d year PhD economics,2,1,Econometrics classes,0,NA,0,NA,0,NA,0
s51065,Quantitative,no warning,A,1027,17.116666666666667,NA,37,male,1,NA,8,Washington University,Post-docs in cognitive neuroscience,NA,1,3 semesters of statistics in graduate school and teaching a hierarchical regression course,1,Preapring manuscripts and talks of my own data,0,NA,1,NA,0
s51066,Quantitative,warning,A,1397,23.283333333333335,right,28,female,1,NA,7,Upenn,3rd year PhD student in psychology / neuroscience,3,1,"2 semesters proof-based econometrics, 1 semester computational neuroscience",1,"Read a lot of stats / watch stats videos for fun, b/c I am a nerd and in grad school.  e.g., Mike X. Cohen has a youtube series on spectral power analysis that I am doing now.",0,NA,1,NA,0
s51067,Quantitative,no warning,B,2256,37.6,NA,28,male,1,NA,8,Upenn,5th year PhD student in Psychology & Marketing.,5,1,One semester of undergraduate statistics. Two semesters of graduate statistics (Normal theory and non-parametric statistics for the behavioral sciences). One semester of statistics for psychology students. One semester of statistics for marketing students. One semester of research methods for marketing students.,1,"R coder with &gt; 50 hours of self-directed online reading/training. Most learning was piecemeal, not a structured survey of any particular topic/approach.",1,"3-hour introduction to Matlab, sponsored by the Psychology department.",1,Three peer-reviewed publications as lead data-analyst. Dissertation's principal contribution is an applied statistical method for improving subjective probability judgments.,0
s51068,Quantitative,no warning,A,1292,21.533333333333335,NA,27,female,2,chinese,8,John Hopkins,2nd year PhD student in Psychology,2,1,2 semesters of statistics in graduate school,0,NA,0,NA,0,NA,0
s51069,Quantitative,warning,A,802,13.366666666666667,right,24,male,2,cantonese,7,UC Berkeley,5th year PhD student in Statistics,5,1,5 semesters of statistics in graduate school,0,NA,1,I took a one-hour workshop in R.,1,I use visualization in my research.,0
s51070,Quantitative,no warning,B,35171,586.1833333333333,NA,26,male,2,french,7,Brown University,2nd year PhD student in Economics,2,1,Some courses in Econometrics and Probability,0,NA,0,NA,1,NA,0
s51071,Quantitative,warning,B,1472,24.533333333333335,right,28,female,1,NA,7,Washington University,4th year PhD student in Clinical Psychology,4,1,"2 semesters of statistics, one course on HLM",0,NA,1,"introduction to R workshop, incl making graphs",0,I have read books/articles on HLM,0
s51072,Quantitative,no warning,A,697,11.616666666666667,NA,24,non-binary,2,turkish,8,UNC,economics,NA,1,grad school,0,NA,0,NA,0,NA,0
s51073,Quantitative,no warning,A,131314,2188.5666666666666,NA,35,female,2,NA,7,UC Berkeley,Phd Student Psychology,NA,0,NA,0,NA,0,NA,0,NA,1
s51074,Quantitative,warning,A,1009,16.816666666666666,right,24,female,2,turkish,7,Upenn,1st year PhD student in Marketing and Psychology,1,0,NA,1,"Used Python to analyze my datasets using guidance from friends and mentors (~ 1 year)
Currently taking a stats course taught in R (Recently started, ~10 hours so far)
Previous undergraduate course in Statistics and Research design that is no longer very relevant.",0,NA,0,NA,0
s51075,Quantitative,warning,B,1105,18.416666666666668,right,23,female,1,NA,8,Upenn,2nd year PhD student in psychology,2,1,1 semester of statistics in graduate school; 2 semesters in undergraduate and 1 year in high school,1,Went through youtube tutorials for Mplus and Spss (~10 hours),0,NA,0,NA,0
s51076,Quantitative,no warning,B,1019,16.983333333333334,NA,26,female,2,hindi,8,Washington University,3rd year PhD student (Cognitive Psychology),3,1,"2 semesters of grad level stats, additional courses in hierarchical linear modeling longitudinal data analysis and multivariate statistics",1,Worked on Applied Data Science (in python) through coursera,1,"Introductory R workshops, specific data visualization R workshops (all through grad school)",1,"Undergrad in mathematics and computing, have programming experience in C/C++, HTML",0
s51077,Quantitative,warning,B,158830,2647.1666666666665,right,25,female,1,NA,7,UC Berkeley,2nd year PhD student in Psychology,2,1,"One semester in undergrad, one semester in grad school",0,NA,0,NA,1,NA,0
s51078,Quantitative,no warning,B,841,14.016666666666667,NA,24,female,1,NA,7,Washington University,1st year phd student in psychology,1,1,"2 semesters undergrad stats/methods, 1 semester grad school stats",1,~100 hours learning R and python via online courses,1,Numerous (&lt;10) workshops on r hosted by other psych grad students,0,NA,0
s51079,Quantitative,warning,A,1557,25.95,right,26,female,1,NA,8,Washington University,"2nd year PhD student in Psychological and Brain Sciences, have Master's in Speech-Language Pathology",2,1,2 semesters of graduate statistics + Research methods,1,worked through roughly 10 hours of R for Data Sciences online exercises on Data Camp website,1,have taken several (4-5) 1 hour R/stats/data visualization workshops through my graduate program,0,"I use statistics in my research. I mostly use Hierarchical Linear Modeling. I don't typically use bar graphs for anything, but I plot my data in other ways.",0
s51080,Quantitative,no warning,A,763,12.716666666666667,NA,23,male,1,NA,7,Washington University,2nd year PhD student in Cognitive Psych,2,1,"3 semesters of stats in undergrad, 2 semesters of stats in graduate school",0,NA,0,NA,0,NA,0
s51081,Quantitative,warning,B,921,15.35,right,24,female,1,NA,7,Washington University,1st year PhD student in psychology,1,1,"one semester of undergrad stats, 1 grad stat class",1,3 workshops on stats,1,I took a few of the workshops run by the library on data visualization,1,I've helped develop charts in R for papers,0
s51082,Quantitative,no warning,A,73990,1233.1666666666667,NA,27,male,2,bengali,8,Upenn,4 th year PhD in statistics,4,1,I took several courses on mathematical statistics.,0,NA,0,NA,0,NA,0
s51083,Quantitative,no warning,B,752,12.533333333333333,NA,25,male,2,italian,8,Brown University,1st year PhD student in Economics,1,1,"three semesters of statistics two during Bachelor, one during Master",0,NA,0,NA,0,NA,0
s51084,Quantitative,no warning,A,1116,18.6,NA,28,male,2,german,8,Upenn,1st year PhD in Economics,1,1,"2 semester statistics, 2 semester econometrics",0,NA,0,NA,1,NA,0
s51085,Quantitative,warning,B,899,14.983333333333333,right,24,male,2,portuguese,8,Brown University,2nd year Economics PhD,2,1,5 semesters in statistics for grad and undergrad school,0,NA,0,NA,0,NA,0
s51086,Quantitative,no warning,A,1449,24.15,NA,31,male,2,german,8,Brown University,6th year PhD student in Economics,6,1,"My main area of research is nonparametric statistics, so I interact with data every day. I also took 8 PhD classes on statistics",0,NA,0,NA,1,NA,0
s51087,Quantitative,warning,B,706,11.766666666666667,right,28,male,2,korean,8,Upenn,3rd economics,3,0,NA,0,NA,0,NA,1,NA,0
s51088,Quantitative,no warning,A,754,12.566666666666666,NA,26,male,1,NA,7,Upenn,5th Year PhD in Economics,5,1,2 semesters of statistics + applied economics research,0,NA,0,NA,1,NA,0
s51089,Quantitative,warning,B,1281,21.35,right,28,male,2,spanish,8,Brown University,2ns year PhD Student in Economics,2,1,5 semesters of statistics or econometrics in graduate school (pooling masters and PhD),0,NA,0,NA,0,NA,0
s51090,Quantitative,no warning,A,740,12.333333333333334,NA,24,female,2,chinese,8,UNC,3rd year phd in economics,3,1,4 semesters of econometrics course in graduate school,0,NA,0,NA,1,NA,0
s51091,Quantitative,warning,B,999,16.65,right,26,female,1,NA,8,UNC,3rd year PhD student in Psychology,3,1,4 semesters of statistics in graduate school,1,"worked in SPSS (~150 hours), Mplus (~15 hrs), R (~15 hrs) for research purposes",0,NA,1,NA,0
s51092,Quantitative,no warning,A,2725,45.416666666666664,NA,27,male,2,telugu,8,John Hopkins,3rd year PhD student in Psychological & Brain Sciences,3,1,3 semesters of statistics in graduate school + 2 semesters in data analysis,1,"worked through Python, R",1,NA,1,NA,0
s51093,Quantitative,no warning,B,640,10.666666666666666,NA,24,female,1,NA,7,UC Berkeley,2nd year phd student in psych,2,1,1 grad school course,0,NA,0,NA,0,NA,0
s51094,Quantitative,warning,A,1149,19.15,right,23,female,1,NA,7,UC Berkeley,2nd year PhD student in Psychology.,2,1,1 semester grad school statistics,1,"Mostly R, with some more complex data visualizations.
Some online exercises.
",0,NA,0,NA,0
s51095,Quantitative,warning,B,735,12.25,right,28,female,1,NA,7,UNC,4th year PhD student in Clinical Psychology,4,1,2 semesters of statistics in graduate school,0,NA,0,NA,0,NA,0
s51096,Quantitative,no warning,A,1520,25.333333333333332,NA,33,male,2,hungarian,8,UC Berkeley,NA,NA,1,2 semesters of econometrics and several semesters of empirical economics courses,0,NA,0,NA,0,NA,0
s51097,Quantitative,warning,B,1254,20.9,right,28,female,2,italian,7,John Hopkins,5th year PhD student in psychological and brain sciences,5,1,2 semester of statistics in grad school,1,Took a couple of coursers classes,1,Workshops on analyzing specific types of data (eg fMRI),1,Learn by doing,0
s51098,Quantitative,no warning,A,2171,36.18333333333333,NA,24,male,2,chinese,8,UNC,1st year PhD in Econ,1,1,B.S. in math,0,NA,0,NA,0,NA,0
s51099,Quantitative,warning,A,1239,20.65,right,24,male,2,serbo-croatian,7,UNC,1st year PhD student in Economics,1,0,NA,1,"plotting in different softwares, R for Data Science, many hours",0,NA,1,NA,0
s51100,Quantitative,no warning,A,1718,28.633333333333333,NA,31,male,1,NA,7,UNC,Statistics phd,NA,1,3rd year stats phd,1,"Data analysis job, used R and Python",1,NA,1,NA,0
s51101,Quantitative,warning,B,1002,16.7,right,30,male,2,spanish,7,UNC,2nd year Econ Phd student,2,1,5 specific courses in statistics,1,personal practice ~10hr,0,NA,1,NA,0
s51102,Quantitative,warning,B,1188,19.8,right,23,male,1,NA,7,UNC,NA,NA,1,NA,0,NA,1,NA,1,NA,0
s51103,Quantitative,no warning,A,433768,7229.466666666666,NA,28,female,1,NA,7,UNC,5th year Ph.D student in Psychology,5,1,3 semesters of statistics in graduate school,0,NA,0,NA,0,NA,0
s51104,Quantitative,no warning,A,1594,26.566666666666666,NA,28,female,2,turkish,8,Upenn,3rd year PhD student in Psychology,3,1,3 semester on stats since BA,0,NA,0,NA,0,NA,0
s51105,Quantitative,no warning,A,258353,4305.883333333333,NA,27,female,1,NA,8,Upenn,4th year PhD student in clinical psychology,4,1,2 semesters of statistics in graduate school (regression/ANOVA + HLM),1,worked through most of R for Data Science online exercises; read several stats books in order to conduct a meta-analysis,0,NA,0,NA,0
s51106,Quantitative,warning,B,1132,18.866666666666667,right,24,male,2,spanish,7,Upenn,3rd year PhD student in Statistics,3,1,3 semesters of statistics in graduate school,0,NA,0,NA,0,NA,0
s51107,Quantitative,warning,A,303541,5059.016666666666,right,26,female,1,NA,7,Upenn,1st year PhD student in Psychology,1,1,1 semester of statistics in graduate school but I never go to class because I don't understand it so no real formal coursework thus far or in the past 5 years,0,NA,0,NA,0,NA,0
s51108,Quantitative,warning,A,710,11.833333333333334,right,32,female,1,NA,8,Washington University,4th year Ph.D. student in Psych,4,1,2 semesters of intro stats plus 2 of him,1,NA,1,NA,0,Never had a visualization course.,0
s51109,Quantitative,no warning,B,2419,40.31666666666667,NA,29,female,2,spanish,8,Washington University,6th year phd student in psychology,6,1,2 semesters of statistics in graduate school,0,NA,0,NA,0,NA,0
s51110,Quantitative,warning,B,759,12.65,right,24,female,1,NA,7,UNC,1st year phd student in economics,1,1,"undergraduate statistics courses, interaction with data visualization in undergraduate economics; informally studied best practices in data visualization",0,NA,0,NA,0,NA,0
s51111,Quantitative,no warning,A,1483,24.716666666666665,NA,26,female,2,turkish,8,Washington University,4th year PhD student in Psychology,4,1,2 semesters of statistics in graduate school + 1 semester of Research Methods in graduate school + 1 semester of Hierarchical Linear Models in graduate school + 2 semesters of statistics in college + 1 semester of Experimental Psychology in college,0,NA,1,I took a couple of 1-hour long workshops within the department about data visualization in R,0,NA,0
s51112,Quantitative,warning,B,325115,5418.583333333333,right,26,female,1,NA,8,Washington University,4th year PhD student in psychology,4,1,2 semesters of statistics in graduate school,0,NA,1,Took 1 workshop on how to use R for statistics,0,None,0
s51113,Quantitative,no warning,A,438066,7301.1,NA,26,female,2,chinese,8,John Hopkins,1st year PhD student in Psychology,1,1,5 semesters of statistics in graduate school + 4 semesters of statistics in college,1,Occasionally Coursera R courses for data Science (~20h in total),0,NA,0,NA,0
s51114,Quantitative,no warning,B,1773,29.55,NA,32,male,2,spanish,8,Upenn,5th PhD student in Economics,5,0,NA,0,NA,0,NA,0,NA,1
s51115,Quantitative,warning,A,1339,22.316666666666666,right,23,male,1,NA,8,Upenn,4th year PhD in Economics.,4,1,BS and Masters in applied math and statistics and have studied measure theory.,0,NA,0,NA,0,NA,0
