participantID,subject_condition,group,DB_approach_select,DB_approach_other,DB_w_approach,DB_nw_notice,DB_misleading_estimate,DB_approach_select_1,DB_approach_select_2,DB_approach_select_3,DB_approach_select_4,DB_approach_select_5,DB_approach_select_6
s31068,warning,A,2,NA,good survey,NA,92,0,1,0,0,0,0
s31069,no warning,A,125,NA,NA,this survey very interesting nice.,78,1,1,0,0,1,0
s31070,warning,A,1,NA,"With misleading graphs, one must determine the values represented, rather than comparing the size of the bars.",NA,50,1,0,0,0,0,0
s31071,warning,A,124,NA,i would look and the type of data on the X and Y and try to see the difference from a numbers perspective and try not to be mislead by the bars on the graph,NA,42,1,1,0,1,0,0
s31072,no warning,B,1,NA,NA,i did not,72,1,0,0,0,0,0
s31073,warning,B,2,NA,I would check the numbers as wells as the bars,NA,20,0,1,0,0,0,0
s31074,warning,A,12,NA,"I wanted to take my time and make sure I knew what the scales where and where the plot started so I wasn't fooled, as much :)",NA,70,1,1,0,0,0,0
s31075,warning,B,2,NA,nil,NA,80,0,1,0,0,0,0
s31076,warning,B,1,NA,"I would check the y-axis to see what the height represents first, then tried to get an absolute number for the difference as a percentage. I used that percentage difference to choose a bubble on the scale.",NA,25,1,0,0,0,0,0
s31077,warning,A,1,NA,this survey was really very nice,NA,67,1,0,0,0,0,0
s31078,warning,B,124,NA,"I did look to see if the graph was misleading, and I looked at the numbers on the side to try to mentally calculate the true difference rather than looking at the bar on those that seemed misleading.",NA,18,1,1,0,1,0,0
s31079,no warning,A,3,NA,NA,well,77,0,0,1,0,0,0
s31080,warning,A,1,NA,"for graphs that were misleading, i tried paying more attention to the y axis. i think that was about it.",NA,50,1,0,0,0,0,0
s31081,warning,A,1,NA,NA,NA,29,1,0,0,0,0,0
s31082,no warning,B,136,"initially i judged tge physical heights at the bars but then I started to judge the content in the vertical axis and how relevant and significant the differences were ie. 40 million people vs 80 million is a big difference, but 20% percentage and 40% is dramatic but not as significant in scale when you consider billions are involved",NA,I think I got better with the graphs as i progressed,15,1,0,1,0,0,1
s31083,warning,A,1245,NA,NA,NA,30,1,1,0,1,1,0
s31084,warning,B,1,NA,I tried to keep in mind the scaling of the graphs when I compared the amounts they represented.,NA,50,1,0,0,0,0,0
s31085,warning,A,4,NA,I tried to approach them similarly to accurate ones for the purpose of answering the questions.,NA,30,0,0,0,1,0,0
s31086,no warning,B,1,NA,NA,NA,58,1,0,0,0,0,0
s31087,warning,A,1,NA,I paid attention to the y axis and what its value ranges were and what that correlated to for the visual aspect of the graph. This helped prevent me from being visually fooled by graphs with bars that seemed like there was a much bigger difference between them than there actually was.,NA,40,1,0,0,0,0,0
s31088,no warning,B,124,NA,NA,NA,31,1,1,0,1,0,0
s31089,warning,B,12,NA,I took into consideration how much the y-axis numbers scaled with the bar size and tried to make estimations based off of that.,NA,65,1,1,0,0,0,0
s31090,no warning,A,2,NA,NA,No,82,0,1,0,0,0,0
s31091,no warning,A,23,NA,NA,NA,50,0,1,1,0,0,0
s31092,warning,B,124,NA,I tried to read the y chart,NA,21,1,1,0,1,0,0
s31093,warning,B,12,NA,"If I believed they were misleading by looking at the value, I would go by bar size.",NA,24,1,1,0,0,0,0
s31094,no warning,B,1234,NA,NA,NA,16,1,1,1,1,0,0
s31095,no warning,A,1,NA,NA,NA,50,1,0,0,0,0,0
s31096,warning,A,45,NA,They're misleading depending on the data represented by the Y axis.,NA,35,0,0,0,1,1,0
s31097,warning,A,4,NA,NA,NA,61,0,0,0,1,0,0
s31098,warning,A,14,NA,I would research further.,NA,82,1,0,0,1,0,0
s31099,no warning,B,24,NA,NA,NA,20,0,1,0,1,0,0
s31100,warning,B,1,NA,With graphics that are misleading I check the gap in the number markers.,NA,31,1,0,0,0,0,0
s31101,warning,B,4,NA,"I looked to see if the number made sense to me,",NA,90,0,0,0,1,0,0
s31102,warning,A,1,NA,I tried to visualize what a graph would look like if it extended to zero.,NA,35,1,0,0,0,0,0
s31103,warning,A,2,NA,The graphs that were misleading I tried to look at the values and compare from there.,NA,45,0,1,0,0,0,0
s31104,warning,A,1,NA,"I tried to look at the Y axis and infer the difference between the values, rather than the size of the bars",NA,57,1,0,0,0,0,0
s31105,no warning,A,123,NA,NA,NA,76,1,1,1,0,0,0
s31106,warning,B,14,NA,"I approached misleading graphs in much the same way as accurate graphs, taking into account the numbers on the y-axis to compare different bars.",NA,70,1,0,0,1,0,0
s31107,warning,A,4,NA,Basically I tried to red the numbers even if there appeared to be a huge disparity in the size of the blocks.,NA,52,0,0,0,1,0,0
s31108,warning,B,235,NA,"I measured misleading graphs as if the numbers were closer together rather than far apart. Also, trying to read these graphs was tough. How do other people do it?",NA,60,0,1,1,0,1,0
s31109,no warning,B,1,NA,NA,no,35,1,0,0,0,0,0
s31110,warning,A,2,NA,stimulate attention,NA,27,0,1,0,0,0,0
s31111,no warning,A,1,NA,NA,The unit sizes were quite different which can make them visually deceptive.,45,1,0,0,0,0,0
s31112,no warning,B,46,I also baised on what the topic was as how severe the difference was,NA,NA,37,0,0,0,1,0,1
s31113,no warning,B,2,NA,NA,NA,45,0,1,0,0,0,0
s31114,warning,A,5,NA,NA,NA,75,0,0,0,0,1,0
s31115,warning,A,14,NA,NA,NA,29,1,0,0,1,0,0
s31116,no warning,B,2,NA,NA,None,40,0,1,0,0,0,0
s31117,no warning,A,1,NA,NA,NA,62,1,0,0,0,0,0
s31118,no warning,A,2,NA,NA,No further comments. Thanks!,35,0,1,0,0,0,0
s31119,warning,B,1,NA,I focused on the proportional difference between the numbers.,NA,50,1,0,0,0,0,0
