participantID,field,subject_condition,control,truncated,difference,graphliteracy_sum_rating,dem_ed,dem_gender,dem_age,study
s51034,Quantitative,warning,3.25,4,0.75,44,7,female,25,Study 5. Quantitative
s51035,Quantitative,no warning,4.05,5.35,1.3,49,7,female,25,Study 5. Quantitative
s51036,Quantitative,warning,3.75,3.4,-0.35,46,8,female,25,Study 5. Quantitative
s51037,Quantitative,no warning,2.8,3.2,0.4,48,8,male,27,Study 5. Quantitative
s51038,Quantitative,no warning,3.45,3.95,0.5,43,7,female,23,Study 5. Quantitative
s51039,Quantitative,warning,3.75,4.15,0.4,51,6,female,22,Study 5. Quantitative
s51040,Quantitative,warning,3.35,2.8,-0.55,39,6,male,24,Study 5. Quantitative
s51041,Quantitative,no warning,3.7,4.75,1.05,50,6,male,23,Study 5. Quantitative
s51042,Quantitative,warning,3.65,4.05,0.4,60,8,male,23,Study 5. Quantitative
s51043,Quantitative,no warning,3.65,4.3,0.65,41,7,female,27,Study 5. Quantitative
s51044,Quantitative,no warning,4.35,4.35,0,41,8,male,27,Study 5. Quantitative
s51045,Quantitative,no warning,5.8,6.6,0.8,51,8,female,25,Study 5. Quantitative
s51046,Quantitative,warning,3.6,3.65,0.05,48,8,female,26,Study 5. Quantitative
s51047,Quantitative,warning,4.4,4.05,-0.35,32,8,female,24,Study 5. Quantitative
s51048,Quantitative,warning,2.75,2.7,-0.05,56,7,male,28,Study 5. Quantitative
s51049,Quantitative,no warning,3.3,3.4,0.1,47,7,male,27,Study 5. Quantitative
s51050,Quantitative,warning,2.9,3.15,0.25,49,7,male,30,Study 5. Quantitative
s51051,Quantitative,no warning,3.4,3.7,0.3,46,8,male,29,Study 5. Quantitative
s51052,Quantitative,warning,4.35,5.45,1.1,51,8,male,28,Study 5. Quantitative
s51053,Quantitative,warning,4.05,4.65,0.6,40,8,female,24,Study 5. Quantitative
s51054,Quantitative,no warning,5.35,6.9,1.55,56,7,female,22,Study 5. Quantitative
s51055,Quantitative,no warning,3.45,3.7,0.25,45,8,male,26,Study 5. Quantitative
s51056,Quantitative,no warning,3.25,3.65,0.4,39,7,female,23,Study 5. Quantitative
s51057,Quantitative,no warning,3.05,3.95,0.9,31,8,male,27,Study 5. Quantitative
s51058,Quantitative,warning,3.4,4,0.6,55,7,male,26,Study 5. Quantitative
s51059,Quantitative,warning,3.65,4.3,0.65,55,8,female,28,Study 5. Quantitative
s51060,Quantitative,warning,3.9,4.4,0.5,51,7,male,26,Study 5. Quantitative
s51061,Quantitative,no warning,3.2,4.65,1.45,53,8,female,24,Study 5. Quantitative
s51062,Quantitative,no warning,3.2,4.15,0.95,40,6,female,24,Study 5. Quantitative
s51063,Quantitative,warning,3.2,4.35,1.15,49,8,male,35,Study 5. Quantitative
s51064,Quantitative,no warning,3.35,4.2,0.85,50,8,male,34,Study 5. Quantitative
s51065,Quantitative,no warning,4,3.9,-0.1,55,8,male,37,Study 5. Quantitative
s51066,Quantitative,warning,3.75,3.85,0.1,51,7,female,28,Study 5. Quantitative
s51067,Quantitative,no warning,4.15,4.4,0.25,46,8,male,28,Study 5. Quantitative
s51068,Quantitative,no warning,3.05,3.7,0.65,48,8,female,27,Study 5. Quantitative
s51069,Quantitative,warning,3.55,3.3,-0.25,60,7,male,24,Study 5. Quantitative
s51070,Quantitative,no warning,3.2,3.8,0.6,40,7,male,26,Study 5. Quantitative
s51071,Quantitative,warning,3.3,3.85,0.55,48,7,female,28,Study 5. Quantitative
s51072,Quantitative,no warning,3.692307692,4.333333333,0.641025641,42,8,non-binary,24,Study 5. Quantitative
s51073,Quantitative,no warning,2.85,2.7,-0.15,50,7,female,35,Study 5. Quantitative
s51074,Quantitative,warning,4.7,4.35,-0.35,41,7,female,24,Study 5. Quantitative
s51075,Quantitative,warning,2.4,3.2,0.8,49,8,female,23,Study 5. Quantitative
s51076,Quantitative,no warning,3.75,4,0.25,54,8,female,26,Study 5. Quantitative
s51077,Quantitative,warning,3.2,3.25,0.05,44,7,female,25,Study 5. Quantitative
s51078,Quantitative,no warning,3.35,4.3,0.95,53,7,female,24,Study 5. Quantitative
s51079,Quantitative,warning,2.95,3.1,0.15,39,8,female,26,Study 5. Quantitative
s51080,Quantitative,no warning,3.5,4.05,0.55,42,7,male,23,Study 5. Quantitative
s51081,Quantitative,warning,3.6,3.75,0.15,40,7,female,24,Study 5. Quantitative
s51082,Quantitative,no warning,3.631578947,4.5,0.868421053,28,8,male,27,Study 5. Quantitative
s51083,Quantitative,no warning,4.5,4.6,0.1,55,8,male,25,Study 5. Quantitative
s51084,Quantitative,no warning,4.05,3.85,-0.2,38,8,male,28,Study 5. Quantitative
s51085,Quantitative,warning,3.65,3.65,0,53,8,male,24,Study 5. Quantitative
s51086,Quantitative,no warning,3.25,3.65,0.4,30,8,male,31,Study 5. Quantitative
s51087,Quantitative,warning,2.95,3.45,0.5,36,8,male,28,Study 5. Quantitative
s51088,Quantitative,no warning,3.55,4.2,0.65,57,7,male,26,Study 5. Quantitative
s51089,Quantitative,warning,3.55,3.85,0.3,45,8,male,28,Study 5. Quantitative
s51090,Quantitative,no warning,4.65,5.85,1.2,44,8,female,24,Study 5. Quantitative
s51091,Quantitative,warning,2.65,3.8,1.15,42,8,female,26,Study 5. Quantitative
s51092,Quantitative,no warning,4.25,5.05,0.8,50,8,male,27,Study 5. Quantitative
s51093,Quantitative,no warning,3.85,4.65,0.8,50,7,female,24,Study 5. Quantitative
s51094,Quantitative,warning,2.85,3.1,0.25,44,7,female,23,Study 5. Quantitative
s51095,Quantitative,warning,3.6,4.2,0.6,43,7,female,28,Study 5. Quantitative
s51096,Quantitative,no warning,3.6,3.85,0.25,50,8,male,33,Study 5. Quantitative
s51097,Quantitative,warning,3.6,3.5,-0.1,45,7,female,28,Study 5. Quantitative
s51098,Quantitative,no warning,3.55,4.8,1.25,38,8,male,24,Study 5. Quantitative
s51099,Quantitative,warning,3.3,3.1,-0.2,38,7,male,24,Study 5. Quantitative
s51100,Quantitative,no warning,3.5,3.7,0.2,44,7,male,31,Study 5. Quantitative
s51101,Quantitative,warning,3.1,3.65,0.55,56,7,male,30,Study 5. Quantitative
s51102,Quantitative,warning,3.8,4.35,0.55,49,7,male,23,Study 5. Quantitative
s51103,Quantitative,no warning,3.6,3.75,0.15,44,7,female,28,Study 5. Quantitative
s51104,Quantitative,no warning,3.6,4.15,0.55,46,8,female,28,Study 5. Quantitative
s51105,Quantitative,no warning,3.9,3.65,-0.25,44,8,female,27,Study 5. Quantitative
s51106,Quantitative,warning,3.35,3.65,0.3,36,7,male,24,Study 5. Quantitative
s51107,Quantitative,warning,2.85,3.05,0.2,32,7,female,26,Study 5. Quantitative
s51108,Quantitative,warning,4.55,5,0.45,43,8,female,32,Study 5. Quantitative
s51109,Quantitative,no warning,3,3.4,0.4,50,8,female,29,Study 5. Quantitative
s51110,Quantitative,warning,3.2,4.35,1.15,54,7,female,24,Study 5. Quantitative
s51111,Quantitative,no warning,4.1,3.55,-0.55,43,8,female,26,Study 5. Quantitative
s51112,Quantitative,warning,3.45,4.1,0.65,48,8,female,26,Study 5. Quantitative
s51113,Quantitative,no warning,3.7,4.5,0.8,54,8,female,26,Study 5. Quantitative
s51114,Quantitative,no warning,3.25,3.75,0.5,42,8,male,32,Study 5. Quantitative
s51115,Quantitative,warning,3.75,4.2,0.45,37,8,male,23,Study 5. Quantitative
s51116,Quantitative,no warning,3.2,4.4,1.2,48,7,male,27,Study 5. Quantitative
s51117,Quantitative,warning,3.85,4.75,0.9,48,8,female,25,Study 5. Quantitative
s51118,Quantitative,no warning,4.1,4,-0.1,20,8,male,27,Study 5. Quantitative
s51119,Quantitative,warning,3.75,3.65,-0.1,38,6,male,24,Study 5. Quantitative
s51120,Quantitative,no warning,2.75,3.15,0.4,31,7,female,24,Study 5. Quantitative
s51121,Quantitative,warning,3.75,3.75,0,53,8,female,26,Study 5. Quantitative
s51122,Quantitative,warning,3.95,3.85,-0.1,36,7,female,26,Study 5. Quantitative
s51123,Quantitative,warning,3.684210526,4.7,1.015789474,60,8,male,28,Study 5. Quantitative
s51124,Quantitative,no warning,3.9,4.3,0.4,38,8,male,34,Study 5. Quantitative
s51125,Quantitative,warning,3.6,4.65,1.05,54,8,male,28,Study 5. Quantitative
s51126,Quantitative,no warning,3.05,3.45,0.4,48,7,male,25,Study 5. Quantitative
s51127,Quantitative,warning,3.6,3.2,-0.4,51,7,female,31,Study 5. Quantitative
s51128,Quantitative,no warning,3.2,4.4,1.2,49,8,male,27,Study 5. Quantitative
s51129,Quantitative,warning,3.9,4.35,0.45,46,7,male,29,Study 5. Quantitative
s51130,Quantitative,no warning,3.35,4.7,1.35,51,7,female,24,Study 5. Quantitative
s51131,Quantitative,no warning,3.5,3.55,0.05,48,7,female,25,Study 5. Quantitative
s51132,Quantitative,warning,3.65,3.65,0,51,8,male,41,Study 5. Quantitative
s51133,Quantitative,no warning,3.15,5,1.85,58,8,male,22,Study 5. Quantitative
s51134,Quantitative,no warning,3.65,4.25,0.6,38,8,female,27,Study 5. Quantitative
s51135,Quantitative,warning,3.5,4.3,0.8,39,8,male,33,Study 5. Quantitative
s51136,Quantitative,warning,3.7,4.45,0.75,40,7,female,27,Study 5. Quantitative
s51137,Quantitative,no warning,5.25,5.5,0.25,55,8,female,25,Study 5. Quantitative
s51138,Quantitative,warning,4.4,4.9,0.5,46,8,female,25,Study 5. Quantitative
s51139,Quantitative,warning,3.65,3.95,0.3,42,6,male,21,Study 5. Quantitative
s51140,Quantitative,no warning,3.6,3.55,-0.05,45,6,male,25,Study 5. Quantitative
s51141,Quantitative,warning,4.55,3.8,-0.75,47,8,female,28,Study 5. Quantitative
s51142,Quantitative,warning,3.6,3.55,-0.05,51,8,male,28,Study 5. Quantitative
s51143,Quantitative,warning,3.45,3.55,0.1,40,6,female,22,Study 5. Quantitative
s51144,Quantitative,no warning,3.85,5.15,1.3,44,8,female,26,Study 5. Quantitative
s51145,Quantitative,warning,3.35,3.35,0,46,6,male,24,Study 5. Quantitative
s51146,Quantitative,no warning,4.4,4.5,0.1,52,8,male,24,Study 5. Quantitative
s51147,Quantitative,no warning,3.85,3.95,0.1,48,7,male,23,Study 5. Quantitative
s51148,Quantitative,no warning,4.1,4.7,0.6,52,7,female,23,Study 5. Quantitative
s51149,Quantitative,no warning,4.2,4.15,-0.05,44,8,male,26,Study 5. Quantitative
s51150,Quantitative,warning,3.95,4.15,0.2,40,7,male,27,Study 5. Quantitative
s51151,Quantitative,warning,3.7,3.85,0.15,34,7,male,31,Study 5. Quantitative
s51152,Quantitative,no warning,4.35,4,-0.35,49,7,male,22,Study 5. Quantitative
s51153,Quantitative,no warning,3.45,4.55,1.1,50,8,male,34,Study 5. Quantitative
s51154,Quantitative,warning,3.3,3.35,0.05,59,7,male,23,Study 5. Quantitative
s51155,Quantitative,warning,4.15,4.7,0.55,38,6,male,24,Study 5. Quantitative
s51156,Quantitative,no warning,4.2,4.5,0.3,48,8,female,35,Study 5. Quantitative
s51157,Quantitative,warning,4.85,4.7,-0.15,48,8,male,27,Study 5. Quantitative
s51158,Quantitative,warning,3.75,3.45,-0.3,31,8,female,31,Study 5. Quantitative
s51159,Quantitative,no warning,3.9,3.3,-0.6,35,8,female,25,Study 5. Quantitative
s51160,Quantitative,warning,4.1,4.25,0.15,40,7,male,24,Study 5. Quantitative
s51161,Quantitative,warning,4.4,4.5,0.1,46,7,male,25,Study 5. Quantitative
s51162,Quantitative,no warning,3.4,3.65,0.25,44,7,female,25,Study 5. Quantitative
s51163,Quantitative,warning,4.35,4.7,0.35,46,8,male,31,Study 5. Quantitative
s51164,Quantitative,warning,3.85,3.35,-0.5,34,7,male,28,Study 5. Quantitative
s51165,Quantitative,no warning,3.75,3.9,0.15,52,8,male,35,Study 5. Quantitative
s51166,Humanities,no warning,3.7,5.25,1.55,32,8,female,29,Study 5. Humanities
s51167,Humanities,warning,3.6,3.75,0.15,24,7,female,25,Study 5. Humanities
s51168,Humanities,no warning,3.65,3.75,0.1,47,7,female,24,Study 5. Humanities
s51169,Humanities,warning,3.75,3.9,0.15,39,8,male,30,Study 5. Humanities
s51170,Humanities,no warning,4.05,4.85,0.8,33,8,male,38,Study 5. Humanities
s51171,Humanities,warning,3.3,3.15,-0.15,33,7,non-binary,29,Study 5. Humanities
s51172,Humanities,no warning,5.6,4.9,-0.7,31,8,male,31,Study 5. Humanities
s51173,Humanities,warning,3.3,4.15,0.85,29,8,male,26,Study 5. Humanities
s51174,Humanities,no warning,3,4.25,1.25,43,7,female,NA,Study 5. Humanities
s51175,Humanities,no warning,4.15,5.45,1.3,47,8,male,33,Study 5. Humanities
s51176,Humanities,warning,4,4.2,0.2,49,8,male,28,Study 5. Humanities
s51177,Humanities,no warning,4.3,4.3,0,33,8,male,28,Study 5. Humanities
s51178,Humanities,warning,3.6,4.2,0.6,39,8,female,27,Study 5. Humanities
s51179,Humanities,no warning,4.2,3.95,-0.25,34,7,male,26,Study 5. Humanities
s51180,Humanities,no warning,4.8,4.9,0.1,45,8,female,27,Study 5. Humanities
s51181,Humanities,warning,3.55,4.65,1.1,36,8,male,29,Study 5. Humanities
s51182,Humanities,no warning,3.35,4.65,1.3,44,8,female,33,Study 5. Humanities
s51183,Humanities,no warning,5.15,5.5,0.35,30,7,female,29,Study 5. Humanities
s51184,Humanities,no warning,4.5,4.35,-0.15,50,8,female,28,Study 5. Humanities
s51185,Humanities,warning,3.2,3.95,0.75,33,7,male,24,Study 5. Humanities
s51186,Humanities,warning,3.5,3.85,0.35,35,8,male,25,Study 5. Humanities
s51187,Humanities,no warning,4,4.95,0.95,40,8,female,29,Study 5. Humanities
s51188,Humanities,warning,3.2,4,0.8,28,8,female,28,Study 5. Humanities
s51189,Humanities,no warning,4.35,5.25,0.9,39,7,male,26,Study 5. Humanities
s51190,Humanities,no warning,4.05,4.05,0,49,7,female,29,Study 5. Humanities
s51191,Humanities,no warning,3.4,3.35,-0.05,39,8,male,28,Study 5. Humanities
s51192,Humanities,warning,3.1,2.95,-0.15,43,8,male,30,Study 5. Humanities
s51193,Humanities,no warning,3.5,3.9,0.4,49,8,male,27,Study 5. Humanities
s51194,Humanities,warning,3.55,3,-0.55,35,8,female,30,Study 5. Humanities
s51195,Humanities,no warning,4.15,5.3,1.15,51,8,male,30,Study 5. Humanities
s51196,Humanities,warning,4.05,4,-0.05,49,8,male,32,Study 5. Humanities
s51197,Humanities,no warning,3.4,3.4,0,47,7,female,29,Study 5. Humanities
s51198,Humanities,no warning,4.1,4.65,0.55,22,7,male,26,Study 5. Humanities
s51199,Humanities,warning,2.3,2.2,-0.1,34,8,female,25,Study 5. Humanities
s51200,Humanities,no warning,4.4,6.1,1.7,56,8,male,30,Study 5. Humanities
s51201,Humanities,no warning,4.3,4.65,0.35,30,8,male,36,Study 5. Humanities
s51202,Humanities,warning,2.75,3.4,0.65,33,7,female,28,Study 5. Humanities
s51203,Humanities,warning,3.4,3.8,0.4,47,7,female,25,Study 5. Humanities
s51204,Humanities,no warning,3.35,4.15,0.8,46,8,male,31,Study 5. Humanities
s51205,Humanities,no warning,3.5,4,0.5,48,8,male,29,Study 5. Humanities
s51206,Humanities,no warning,4.15,3.4,-0.75,43,8,female,28,Study 5. Humanities
s51207,Humanities,warning,3.55,4.55,1,30,8,female,30,Study 5. Humanities
s51208,Humanities,no warning,4.25,5.7,1.45,51,7,male,30,Study 5. Humanities
s51209,Humanities,no warning,2.9,3.6,0.7,38,7,female,28,Study 5. Humanities
s51210,Humanities,no warning,4.05,4.25,0.2,32,7,female,23,Study 5. Humanities
s51211,Humanities,warning,4.35,4.55,0.2,39,8,male,33,Study 5. Humanities
s51212,Humanities,warning,3.95,4.45,0.5,30,7,female,30,Study 5. Humanities
s51213,Humanities,no warning,3.6,4.9,1.3,52,8,female,35,Study 5. Humanities
s51214,Humanities,warning,3.7,4,0.3,23,8,female,33,Study 5. Humanities
s51215,Humanities,warning,3.85,4,0.15,46,8,male,46,Study 5. Humanities
s51216,Humanities,no warning,3.5,4,0.5,37,7,female,25,Study 5. Humanities
s51217,Humanities,no warning,3.8,4.85,1.05,45,8,male,31,Study 5. Humanities
s51218,Humanities,warning,3.6,4.25,0.65,38,8,female,30,Study 5. Humanities
s51219,Humanities,no warning,3.45,4.55,1.1,29,8,female,30,Study 5. Humanities
s51220,Humanities,no warning,3,3.1,0.1,35,2,male,29,Study 5. Humanities
s51221,Humanities,warning,3.75,3.45,-0.3,28,7,female,26,Study 5. Humanities
s51222,Humanities,warning,4,4.5,0.5,43,8,female,36,Study 5. Humanities
s51223,Humanities,no warning,3.95,4.5,0.55,43,8,female,36,Study 5. Humanities
s51224,Humanities,warning,3.5,3.95,0.45,32,7,female,32,Study 5. Humanities
s51225,Humanities,no warning,4,5.5,1.5,57,8,male,26,Study 5. Humanities
s51226,Humanities,warning,3.8,3.55,-0.25,38,7,female,30,Study 5. Humanities
s51227,Humanities,no warning,4,3.7,-0.3,34,7,female,28,Study 5. Humanities
s51228,Humanities,warning,3.65,4.4,0.75,37,6,male,22,Study 5. Humanities
s51229,Humanities,no warning,3.4,3.6,0.2,35,8,female,27,Study 5. Humanities
s51230,Humanities,warning,4.2,4.2,0,37,6,male,24,Study 5. Humanities
s51231,Humanities,no warning,3.85,4.65,0.8,31,8,female,36,Study 5. Humanities
s51232,Humanities,warning,3.35,4.65,1.3,42,8,female,31,Study 5. Humanities
s51233,Humanities,no warning,5.1,5.9,0.8,44,8,female,30,Study 5. Humanities
s51234,Humanities,warning,3.6,5.05,1.45,44,8,female,32,Study 5. Humanities
s51235,Humanities,no warning,3.9,4.4,0.5,35,8,female,39,Study 5. Humanities
s51236,Humanities,no warning,3,4.4,1.4,35,8,female,27,Study 5. Humanities
s51237,Humanities,no warning,4.15,4.8,0.65,23,8,female,25,Study 5. Humanities
s51238,Humanities,no warning,3.2,5.4,2.2,49,7,female,25,Study 5. Humanities
s51239,Humanities,warning,4,4,0,41,7,male,32,Study 5. Humanities
s51240,Humanities,no warning,3.65,4.85,1.2,46,8,female,32,Study 5. Humanities
s51241,Humanities,warning,3.45,4,0.55,43,7,female,23,Study 5. Humanities
s51242,Humanities,no warning,3.55,3.95,0.4,42,8,female,24,Study 5. Humanities
s51243,Humanities,warning,4.35,3.95,-0.4,29,8,female,25,Study 5. Humanities
s51244,Humanities,no warning,4.5,4.95,0.45,25,8,female,33,Study 5. Humanities
s51245,Humanities,warning,3.1,4.2,1.1,43,7,female,27,Study 5. Humanities
s51246,Humanities,warning,3.6,3.75,0.15,18,8,female,31,Study 5. Humanities
s51247,Humanities,no warning,4.6,4,-0.6,31,8,male,34,Study 5. Humanities
s51248,Humanities,warning,3.65,3.75,0.1,26,8,male,NA,Study 5. Humanities
s51249,Humanities,no warning,3.75,5.15,1.4,30,8,female,28,Study 5. Humanities
s51250,Humanities,warning,4.15,4.35,0.2,32,7,female,25,Study 5. Humanities
s51251,Humanities,warning,4.45,4.25,-0.2,26,8,female,27,Study 5. Humanities
s51252,Humanities,warning,3.25,3.5,0.25,26,7,female,26,Study 5. Humanities
s51253,Humanities,warning,4.2,4.55,0.35,34,8,female,32,Study 5. Humanities
s51254,Humanities,no warning,3.2,3.7,0.5,41,7,female,27,Study 5. Humanities
s51255,Humanities,no warning,4,4.7,0.7,41,7,male,23,Study 5. Humanities
s51256,Humanities,warning,2.85,3,0.15,43,7,female,22,Study 5. Humanities
s51257,Humanities,no warning,3.5,4.1,0.6,45,8,female,31,Study 5. Humanities
s51258,Humanities,warning,3.45,4,0.55,50,8,female,47,Study 5. Humanities
s51259,Humanities,warning,3.5,3,-0.5,35,7,female,26,Study 5. Humanities
s51260,Humanities,warning,4.55,5,0.45,40,7,female,26,Study 5. Humanities
s51261,Humanities,no warning,3.15,2.95,-0.2,33,7,female,24,Study 5. Humanities
s51262,Humanities,warning,4.45,2.65,-1.8,51,8,female,27,Study 5. Humanities
s51263,Humanities,no warning,3.5,5.05,1.55,39,8,female,36,Study 5. Humanities
s51264,Humanities,no warning,4.1,4.45,0.35,33,8,female,25,Study 5. Humanities
s51265,Humanities,warning,2.588235294,3.4375,0.849264706,NA,8,female,31,Study 5. Humanities
s51266,Humanities,warning,3.4,4.7,1.3,44,7,female,22,Study 5. Humanities
s51267,Humanities,no warning,2.9,3.45,0.55,41,8,female,26,Study 5. Humanities
s51268,Humanities,no warning,4.25,5.15,0.9,29,7,female,26,Study 5. Humanities
s51269,Humanities,no warning,5.2,5.95,0.75,54,8,female,27,Study 5. Humanities
s51270,Humanities,warning,3.6,3.75,0.15,49,8,female,48,Study 5. Humanities
s51271,Humanities,no warning,3.65,3.8,0.15,46,8,female,27,Study 5. Humanities
s51272,Humanities,warning,4.1,3.5,-0.6,34,8,female,31,Study 5. Humanities
s51273,Humanities,warning,2.7,2.9,0.2,36,8,male,27,Study 5. Humanities
s51274,Humanities,no warning,4.35,5.55,1.2,29,8,non-binary,31,Study 5. Humanities
s51275,Humanities,no warning,3.7,4.05,0.35,42,6,female,23,Study 5. Humanities
s51276,Humanities,no warning,3.9,5.8,1.9,41,8,male,34,Study 5. Humanities
s51277,Humanities,warning,3.65,2.45,-1.2,24,7,female,24,Study 5. Humanities
s51278,Humanities,warning,3.35,3.5,0.15,43,7,female,28,Study 5. Humanities
s51279,Humanities,no warning,3.05,3.6,0.55,40,8,female,25,Study 5. Humanities
s51280,Humanities,warning,3.2,3.35,0.15,37,7,male,23,Study 5. Humanities
s51281,Humanities,no warning,3.15,3.4,0.25,52,8,male,26,Study 5. Humanities
s51282,Humanities,warning,3.55,4.1,0.55,25,7,male,36,Study 5. Humanities
s51283,Humanities,no warning,3.15,3.55,0.4,31,7,female,24,Study 5. Humanities
s51284,Humanities,warning,3.35,4.35,1,39,7,non-binary,24,Study 5. Humanities
s51285,Humanities,warning,3.2,3.1,-0.1,42,8,male,28,Study 5. Humanities
s51286,Humanities,no warning,3.8,5.1,1.3,21,7,female,29,Study 5. Humanities
s51287,Humanities,no warning,3.95,4.75,0.8,32,7,female,28,Study 5. Humanities
s51288,Humanities,no warning,4.3,5.2,0.9,36,8,non-binary,NA,Study 5. Humanities
s51289,Humanities,warning,3.75,4.15,0.4,27,8,female,30,Study 5. Humanities
s51290,Humanities,warning,4.2,3.8,-0.4,38,7,female,30,Study 5. Humanities
s51291,Humanities,warning,4.05,4.4,0.35,47,8,male,28,Study 5. Humanities
s51292,Humanities,no warning,3.8,4.55,0.75,41,8,female,25,Study 5. Humanities
s51293,Humanities,no warning,3.8,4,0.2,32,8,female,27,Study 5. Humanities
s51294,Humanities,warning,3.65,4.1,0.45,45,7,female,28,Study 5. Humanities
s51295,Humanities,warning,5.2,5.95,0.75,28,7,female,29,Study 5. Humanities
s51296,Humanities,warning,3.6,3.8,0.2,40,8,male,27,Study 5. Humanities
s51297,Humanities,no warning,4.9,5.55,0.65,18,8,male,27,Study 5. Humanities
s51298,Humanities,no warning,3.7,4.2,0.5,37,8,male,35,Study 5. Humanities
s51299,Humanities,warning,3.35,4.05,0.7,38,7,female,22,Study 5. Humanities
s51300,Humanities,no warning,3.714285714,5.052631579,1.338345865,40,8,female,34,Study 5. Humanities
s51301,Humanities,warning,4.05,5.55,1.5,46,8,male,32,Study 5. Humanities
s51302,Humanities,no warning,4.65,5.65,1,53,8,male,36,Study 5. Humanities
s51303,Humanities,warning,3.9,4.05,0.15,42,7,female,39,Study 5. Humanities
s51304,Humanities,warning,3.1,2.95,-0.15,32,4,female,23,Study 5. Humanities
s51305,Humanities,no warning,4.2,5.3,1.1,36,8,male,30,Study 5. Humanities
s51306,Humanities,warning,3.65,4.05,0.4,43,8,female,30,Study 5. Humanities
s51307,Humanities,no warning,3.45,5.7,2.25,30,8,female,29,Study 5. Humanities
s51308,Humanities,warning,3.75,3.8,0.05,35,8,female,26,Study 5. Humanities
s51309,Humanities,warning,4.15,4.6,0.45,44,8,female,27,Study 5. Humanities
s51310,Humanities,no warning,3.95,4.55,0.6,38,8,female,27,Study 5. Humanities
s51311,Humanities,warning,3.4,3.5,0.1,34,8,male,24,Study 5. Humanities
s51312,Humanities,no warning,3.9,3.55,-0.35,27,8,female,34,Study 5. Humanities
s51313,Humanities,no warning,4.8,5.8,1,45,8,female,24,Study 5. Humanities
s51314,Humanities,warning,3.25,4.05,0.8,41,8,female,28,Study 5. Humanities
s51315,Humanities,warning,3.35,4,0.65,29,8,female,29,Study 5. Humanities
s51316,Humanities,no warning,3.35,5.25,1.9,27,7,female,26,Study 5. Humanities
s51317,Humanities,warning,4.05,4.5,0.45,45,8,male,26,Study 5. Humanities
s51318,Humanities,warning,2.85,2.85,0,42,7,non-binary,24,Study 5. Humanities
s51319,Humanities,no warning,4.55,6.2,1.65,42,8,male,26,Study 5. Humanities
