participantID,field,subject_condition,group,graphliteracy_question,rating
s51054,Quantitative,no warning,A,8,6
s51054,Quantitative,no warning,A,9,6
s51054,Quantitative,no warning,A,10,6
s51055,Quantitative,no warning,A,1,5
s51055,Quantitative,no warning,A,2,5
s51055,Quantitative,no warning,A,3,4
s51055,Quantitative,no warning,A,4,5
s51055,Quantitative,no warning,A,5,4
s51055,Quantitative,no warning,A,6,3
s51055,Quantitative,no warning,A,7,4
s51055,Quantitative,no warning,A,8,6
s51055,Quantitative,no warning,A,9,4
s51055,Quantitative,no warning,A,10,5
s51056,Quantitative,no warning,B,1,4
s51056,Quantitative,no warning,B,2,3
s51056,Quantitative,no warning,B,3,4
s51056,Quantitative,no warning,B,4,4
s51056,Quantitative,no warning,B,5,3
s51056,Quantitative,no warning,B,6,3
s51056,Quantitative,no warning,B,7,5
s51056,Quantitative,no warning,B,8,5
s51056,Quantitative,no warning,B,9,5
s51056,Quantitative,no warning,B,10,3
s51057,Quantitative,no warning,A,1,4
s51057,Quantitative,no warning,A,2,4
s51057,Quantitative,no warning,A,3,2
s51057,Quantitative,no warning,A,4,1
s51057,Quantitative,no warning,A,5,2
s51057,Quantitative,no warning,A,6,2
s51057,Quantitative,no warning,A,7,4
s51057,Quantitative,no warning,A,8,5
s51057,Quantitative,no warning,A,9,2
s51057,Quantitative,no warning,A,10,5
s51058,Quantitative,warning,B,1,6
s51058,Quantitative,warning,B,2,6
s51058,Quantitative,warning,B,3,6
s51058,Quantitative,warning,B,4,6
s51058,Quantitative,warning,B,5,6
s51058,Quantitative,warning,B,6,6
s51058,Quantitative,warning,B,7,4
s51058,Quantitative,warning,B,8,5
s51058,Quantitative,warning,B,9,5
s51058,Quantitative,warning,B,10,5
s51059,Quantitative,warning,B,1,5
s51059,Quantitative,warning,B,2,6
s51059,Quantitative,warning,B,3,6
s51059,Quantitative,warning,B,4,5
s51059,Quantitative,warning,B,5,5
s51059,Quantitative,warning,B,6,5
s51059,Quantitative,warning,B,7,6
s51059,Quantitative,warning,B,8,6
s51059,Quantitative,warning,B,9,6
s51059,Quantitative,warning,B,10,5
s51060,Quantitative,warning,A,1,6
s51060,Quantitative,warning,A,2,6
s51060,Quantitative,warning,A,3,6
s51060,Quantitative,warning,A,4,4
s51060,Quantitative,warning,A,5,5
s51060,Quantitative,warning,A,6,5
s51060,Quantitative,warning,A,7,5
s51060,Quantitative,warning,A,8,6
s51060,Quantitative,warning,A,9,3
s51060,Quantitative,warning,A,10,5
s51061,Quantitative,no warning,B,1,5
s51061,Quantitative,no warning,B,2,5
s51061,Quantitative,no warning,B,3,4
s51061,Quantitative,no warning,B,4,5
s51061,Quantitative,no warning,B,5,5
s51061,Quantitative,no warning,B,6,5
s51061,Quantitative,no warning,B,7,6
s51061,Quantitative,no warning,B,8,6
s51061,Quantitative,no warning,B,9,6
s51061,Quantitative,no warning,B,10,6
s51062,Quantitative,no warning,A,1,5
s51062,Quantitative,no warning,A,2,3
s51062,Quantitative,no warning,A,3,4
s51062,Quantitative,no warning,A,4,4
s51062,Quantitative,no warning,A,5,3
s51062,Quantitative,no warning,A,6,3
s51062,Quantitative,no warning,A,7,4
s51062,Quantitative,no warning,A,8,5
s51062,Quantitative,no warning,A,9,4
s51062,Quantitative,no warning,A,10,5
s51063,Quantitative,warning,B,1,5
s51063,Quantitative,warning,B,2,5
s51063,Quantitative,warning,B,3,5
s51063,Quantitative,warning,B,4,5
s51063,Quantitative,warning,B,5,5
s51063,Quantitative,warning,B,6,5
s51063,Quantitative,warning,B,7,5
s51063,Quantitative,warning,B,8,5
s51063,Quantitative,warning,B,9,4
s51063,Quantitative,warning,B,10,5
s51064,Quantitative,no warning,B,1,5
s51064,Quantitative,no warning,B,2,5
s51064,Quantitative,no warning,B,3,5
s51064,Quantitative,no warning,B,4,5
s51064,Quantitative,no warning,B,5,5
s51064,Quantitative,no warning,B,6,3
s51064,Quantitative,no warning,B,7,5
s51064,Quantitative,no warning,B,8,6
s51064,Quantitative,no warning,B,9,5
s51064,Quantitative,no warning,B,10,6
s51065,Quantitative,no warning,A,1,6
s51065,Quantitative,no warning,A,2,6
s51065,Quantitative,no warning,A,3,4
s51065,Quantitative,no warning,A,4,6
s51065,Quantitative,no warning,A,5,6
s51065,Quantitative,no warning,A,6,6
s51065,Quantitative,no warning,A,7,4
s51065,Quantitative,no warning,A,8,6
s51065,Quantitative,no warning,A,9,5
s51065,Quantitative,no warning,A,10,6
s51066,Quantitative,warning,A,1,6
s51066,Quantitative,warning,A,2,6
s51066,Quantitative,warning,A,3,6
s51066,Quantitative,warning,A,4,6
s51066,Quantitative,warning,A,5,6
s51066,Quantitative,warning,A,6,6
s51066,Quantitative,warning,A,7,3
s51066,Quantitative,warning,A,8,4
s51066,Quantitative,warning,A,9,4
s51066,Quantitative,warning,A,10,4
s51067,Quantitative,no warning,B,1,5
s51067,Quantitative,no warning,B,2,5
s51067,Quantitative,no warning,B,3,4
s51067,Quantitative,no warning,B,4,4
s51067,Quantitative,no warning,B,5,4
s51067,Quantitative,no warning,B,6,4
s51067,Quantitative,no warning,B,7,5
s51067,Quantitative,no warning,B,8,6
s51067,Quantitative,no warning,B,9,5
s51067,Quantitative,no warning,B,10,4
s51068,Quantitative,no warning,A,1,5
s51068,Quantitative,no warning,A,2,5
s51068,Quantitative,no warning,A,3,5
s51068,Quantitative,no warning,A,4,5
s51068,Quantitative,no warning,A,5,5
s51068,Quantitative,no warning,A,6,5
s51068,Quantitative,no warning,A,7,5
s51068,Quantitative,no warning,A,8,5
s51068,Quantitative,no warning,A,9,4
s51068,Quantitative,no warning,A,10,4
s51069,Quantitative,warning,A,1,6
s51069,Quantitative,warning,A,2,6
s51069,Quantitative,warning,A,3,6
s51069,Quantitative,warning,A,4,6
s51069,Quantitative,warning,A,5,6
s51069,Quantitative,warning,A,6,6
s51069,Quantitative,warning,A,7,6
s51069,Quantitative,warning,A,8,6
s51069,Quantitative,warning,A,9,6
s51069,Quantitative,warning,A,10,6
s51070,Quantitative,no warning,B,1,4
s51070,Quantitative,no warning,B,2,5
s51070,Quantitative,no warning,B,3,4
s51070,Quantitative,no warning,B,4,5
s51070,Quantitative,no warning,B,5,4
s51070,Quantitative,no warning,B,6,4
s51070,Quantitative,no warning,B,7,2
s51070,Quantitative,no warning,B,8,4
s51070,Quantitative,no warning,B,9,4
s51070,Quantitative,no warning,B,10,4
s51071,Quantitative,warning,B,1,5
s51071,Quantitative,warning,B,2,5
s51071,Quantitative,warning,B,3,5
s51071,Quantitative,warning,B,4,5
s51071,Quantitative,warning,B,5,5
s51071,Quantitative,warning,B,6,5
s51071,Quantitative,warning,B,7,5
s51071,Quantitative,warning,B,8,6
s51071,Quantitative,warning,B,9,3
s51071,Quantitative,warning,B,10,4
s51072,Quantitative,no warning,A,1,4
s51072,Quantitative,no warning,A,2,4
s51072,Quantitative,no warning,A,3,4
s51072,Quantitative,no warning,A,4,4
